"","sample","median.bin.age","lowerCI","median","upperCI"
"1","baseline (no loss) replicates",0.25,0.0305395569356104,0.0465587044534413,0.0659699094361671
"2","baseline (no loss) replicates",0.35,0.0464089061345159,0.0625,0.0842840483542474
"3","baseline (no loss) replicates",0.45,0.0382827804623221,0.0547023848630182,0.0700321071029025
"4","baseline (no loss) replicates",0.55,0.0467392382054036,0.0652428734131966,0.0828369873971529
"5","baseline (no loss) replicates",0.65,0.0466444485589088,0.0636997505418558,0.0968142408351061
"6","baseline (no loss) replicates",0.75,0.0378569808896335,0.0505050505050505,0.0700910931174089
"7","baseline (no loss) replicates",0.85,0.0263264547313627,0.0428135001454757,0.068495248942131
"8","baseline (no loss) replicates",0.95,0.0251085621232466,0.0363636363636364,0.0516214779372674
"9","baseline (no loss) replicates",1.05,0.0222435897435897,0.0314073137282276,0.0476480310434033
"10","baseline (no loss) replicates",1.15,0.0159338622830098,0.0335114453459991,0.0426464828450572
"11","baseline (no loss) replicates",1.25,0.0192777929561373,0.0325215343620252,0.0447927124000744
"12","baseline (no loss) replicates",1.35,0.0200778557987602,0.0295296167247387,0.0403653470185728
"13","baseline (no loss) replicates",1.45,0.0151802353387427,0.0284844972471747,0.0394937389583197
"14","baseline (no loss) replicates",1.55,0.0150860418703161,0.0212530989407257,0.0380542064859784
"15","baseline (no loss) replicates",1.65,0.0131724870221803,0.0222897898514425,0.0304383920173394
"16","baseline (no loss) replicates",1.75,0.00706701274185937,0.018292758496755,0.027485096854951
"17","baseline (no loss) replicates",1.85,0.00805219994038551,0.0201613722740483,0.027469450101833
"18","baseline (no loss) replicates",1.95,0.00609592861126603,0.017186170908853,0.0294459546021943
"19","baseline (no loss) replicates",2.05,0.00501584101382488,0.0161290978192387,0.0305643706054384
"20","baseline (no loss) replicates",2.15,0.00408559742915571,0.013141644310672,0.0213568465927832
"21","baseline (no loss) replicates",2.25,0.0070215570719603,0.0162107562555945,0.0313294232649071
"22","baseline (no loss) replicates",2.35,0.00503532255065997,0.00816329930570306,0.0203078489738368
"23","baseline (no loss) replicates",2.45,0.00701890427060206,0.0122699386503067,0.0213293805585895
"24","baseline (no loss) replicates",2.55,0.00702537132761892,0.0172375486021107,0.0327594968085766
"25","baseline (no loss) replicates",2.65,0.00202624188025063,0.00708103855232101,0.017218517369727
"26","baseline (no loss) replicates",2.75,0.00298973072406402,0.012096823364429,0.019238523573201
"27","baseline (no loss) replicates",2.85,0.00407255773051764,0.01219517233117,0.0204046658986175
"28","baseline (no loss) replicates",2.95,0.00607287449392713,0.0121833564219276,0.018240022172949
"29","baseline (no loss) replicates",3.05,0.000961538461538462,0.00612870915237261,0.0144169129062954
"30","baseline (no loss) replicates",3.15,0.00404428904428904,0.00813836040600732,0.0184193093119041
"31","baseline (no loss) replicates",3.25,0.00405248376050127,0.00808898703635546,0.0152601543727988
"32","baseline (no loss) replicates",3.35,0.000957661290322581,0.00607287449392713,0.0122810931399888
"33","baseline (no loss) replicates",3.45,0.00297807561708241,0.0101214989653124,0.0164116938993965
"34","baseline (no loss) replicates",3.55,0.00203665987780041,0.00810537812779726,0.0161616161616162
"35","baseline (no loss) replicates",3.65,0.00202214452214452,0.00612870915237261,0.0133269620845686
"36","baseline (no loss) replicates",3.75,0.000957661290322581,0.00607287449392713,0.0132674921139564
"37","baseline (no loss) replicates",3.85,0.00095959595959596,0.006122678484408,0.0121484067663257
"38","baseline (no loss) replicates",3.95,0.00202000620347395,0.00505062897711472,0.0123217922606925
"39","baseline (no loss) replicates",4.05,0,0.00507111935683364,0.0122109485606418
"40","baseline (no loss) replicates",4.15,0,0.00403633105246008,0.0101757904672015
"41","baseline (no loss) replicates",4.25,0.00095959595959596,0.00405681182317896,0.00715994899648937
"42","baseline (no loss) replicates",4.35,0,0.00403225806451613,0.013346505549234
"43","baseline (no loss) replicates",4.45,0,0.00405686189800243,0.00814063237376121
"44","baseline (no loss) replicates",4.55,0,0.00404449351817773,0.00816413229542814
"45","baseline (no loss) replicates",4.65,0,0.00406918020300366,0.0142479920334335
"46","baseline (no loss) replicates",4.75,0,0.00303853195910222,0.0112265512265512
"47","baseline (no loss) replicates",4.85,0,0.00203669367048702,0.00825938318300843
"48","baseline (no loss) replicates",4.95,0,0.00403225806451613,0.0103030303030303
"49","baseline (no loss) replicates",5.05,0,0.00204082482642577,0.0103113715592318
"50","baseline (no loss) replicates",5.15,0,0.00405268906389863,0.00922988677739538
"51","baseline (no loss) replicates",5.25,0,0.00202020202020202,0.00517682652859836
"52","baseline (no loss) replicates",5.35,0,0.00202840591158948,0.00812409812409812
"53","baseline (no loss) replicates",5.45,0.000955734406438632,0.00304469966124101,0.00916199247749819
"54","baseline (no loss) replicates",5.55,0,0.00405268906389863,0.0100924372143794
"55","baseline (no loss) replicates",5.65,0,0.00201816552623004,0.00814063237376121
"56","baseline (no loss) replicates",5.75,0.000955734406438632,0.00204290305079087,0.00809893784421715
"57","baseline (no loss) replicates",5.85,0,0.00202429149797571,0.00808165730703931
"58","baseline (no loss) replicates",5.95,0,0.00202429979306247,0.00713261875940587
"59","baseline (no loss) replicates",6.05,0,0.00203873810216551,0.00713611129360751
"60","baseline (no loss) replicates",6.15,0,0.00201816552623004,0.00509714076246334
"61","baseline (no loss) replicates",6.25,0,0.00201816552623004,0.00814843390286091
"62","baseline (no loss) replicates",6.35,0,0.00202840591158948,0.0040654705593172
"63","baseline (no loss) replicates",6.45,0,0.00203252872186166,0.00913670280794076
"64","baseline (no loss) replicates",6.55,0,0,0.00825271354412458
"65","baseline (no loss) replicates",6.65,0,0.00202224675908886,0.00511004874697376
"66","baseline (no loss) replicates",6.75,0,0.00201818196629168,0.00607934155094399
"67","baseline (no loss) replicates",6.85,0,0,0.0031055164846127
"68","baseline (no loss) replicates",6.95,0,0.00202020202020202,0.00404082865351965
"69","baseline (no loss) replicates",7.05,0,0,0.00525312772766947
"70","baseline (no loss) replicates",7.15,0,0.00201612903225806,0.00511915341825483
"71","baseline (no loss) replicates",7.25,0,0.00202224675908886,0.00406593406593407
"72","baseline (no loss) replicates",7.35,0,0,0.00511133603238866
"73","baseline (no loss) replicates",7.45,0,0,0.00620396343100762
"74","baseline (no loss) replicates",7.55,0,0.00201612903225806,0.00415717752473399
"75","baseline (no loss) replicates",7.65,0,0,0.00512041143138704
"76","baseline (no loss) replicates",7.75,0,0,0.00509599177213381
"77","baseline (no loss) replicates",7.85,0,0,0.00404996168456769
"78","baseline (no loss) replicates",7.95,0,0,0.00310517678713488
"79","baseline (no loss) replicates",8.05,0,0,0.00308275058275058
"80","baseline (no loss) replicates",8.15,0,0,0.00309687621602378
"81","baseline (no loss) replicates",8.25,0,0,0.00309095322734604
"82","baseline (no loss) replicates",8.35,0,0,0.00308404619948731
"83","baseline (no loss) replicates",8.45,0,0,0.00203491741524196
"84","baseline (no loss) replicates",8.55,0,0,0.00107142857142857
"85","baseline (no loss) replicates",8.65,0,0,0.00202861163227017
"86","baseline (no loss) replicates",8.75,0,0,0.00204300738700388
"87","baseline (no loss) replicates",8.85,0,0,0.00203469359031676
"88","baseline (no loss) replicates",8.95,0,0,0.00106060606060606
"89","baseline (no loss) replicates",9.05,0,0,0.00204300738700388
"90","baseline (no loss) replicates",9.15,0,0,0.00203078489738368
"91","baseline (no loss) replicates",9.25,0,0,0.00204939889058255
"92","baseline (no loss) replicates",9.35,0,0,0.00309687621602378
"93","baseline (no loss) replicates",9.45,0,0,0.00204939889058255
"94","baseline (no loss) replicates",9.55,0,0,0.00310198171550381
"95","baseline (no loss) replicates",9.65,0,0,0.00201848744287588
"96","baseline (no loss) replicates",9.75,0,0,0.002026447183648
"97","baseline (no loss) replicates",9.85,0,0,0.0020351580934403
"98","baseline (no loss) replicates",9.95,0,0,0.00308275058275058
"99","baseline (no loss) replicates",10.05,0,0,0.00204103307385703
"100","baseline (no loss) replicates",10.15,0,0,0.00106275303643724
"101","baseline (no loss) replicates",10.25,0,0,0.00202020202020202
"102","baseline (no loss) replicates",10.35,0,0,0
"103","baseline (no loss) replicates",10.45,0,0,0
"104","baseline (no loss) replicates",10.55,0,0,0.00201420214837412
"105","baseline (no loss) replicates",10.65,0,0,0.00409088437877692
"106","baseline (no loss) replicates",10.75,0,0,0.00202020202020202
"107","baseline (no loss) replicates",10.85,0,0,0.00202450468170549
"108","baseline (no loss) replicates",10.95,0,0,0.0020351580934403
"109","baseline (no loss) replicates",11.05,0,0,0.00105846774193548
"110","baseline (no loss) replicates",11.15,0,0,0.00105846774193548
"111","baseline (no loss) replicates",11.25,0,0,0.00106924643584521
"112","baseline (no loss) replicates",11.35,0,0,0
"113","baseline (no loss) replicates",11.45,0,0,0.00106060606060606
"114","baseline (no loss) replicates",11.55,0,0,0
"115","baseline (no loss) replicates",11.65,0,0,0.00105846774193548
"116","baseline (no loss) replicates",11.75,0,0,0.00106275303643724
"117","baseline (no loss) replicates",11.85,0,0,0.00106275303643724
"118","baseline (no loss) replicates",11.95,0,0,0.00106275303643724
"119","singleton ancient (50% sites)",0.25,0.0216908711364504,0.0302013422818792,0.0420946037556776
"120","singleton ancient (50% sites)",0.35,0.0436026936026936,0.0570469798657718,0.0789634351641938
"121","singleton ancient (50% sites)",0.45,0.0282718120805369,0.0504203104874246,0.0707680835197614
"122","singleton ancient (50% sites)",0.55,0.0484938609683284,0.0588208709014078,0.0703578483086799
"123","singleton ancient (50% sites)",0.65,0.0336107156576955,0.0486526356091573,0.0622610331502949
"124","singleton ancient (50% sites)",0.75,0.0216928351776616,0.0336135403249497,0.0469798657718121
"125","singleton ancient (50% sites)",0.85,0.00987800498305313,0.023489932885906,0.0371517185275574
"126","singleton ancient (50% sites)",0.95,0.0134680134680135,0.0218459765439631,0.0285543534376333
"127","singleton ancient (50% sites)",1.05,0.0233577384584096,0.0369127516778524,0.0540268456375839
"128","singleton ancient (50% sites)",1.15,0.0134228187919463,0.023489932885906,0.0302013422818792
"129","singleton ancient (50% sites)",1.25,0.0132996632996633,0.0218459765439631,0.0320224052606603
"130","singleton ancient (50% sites)",1.35,0.0099207963301923,0.0201342281879195,0.0285972883798971
"131","singleton ancient (50% sites)",1.45,0.013399250297412,0.0168350168350168,0.0268456375838926
"132","singleton ancient (50% sites)",1.55,0.0083214697308657,0.0201342281879195,0.0268029898318781
"133","singleton ancient (50% sites)",1.65,0.0183404974074656,0.0251677852348993,0.0335037372898476
"134","singleton ancient (50% sites)",1.75,0.0149932100289556,0.0268456375838926,0.0353187919463087
"135","singleton ancient (50% sites)",1.85,0.010049437723059,0.0168067701624749,0.0286607687614399
"136","singleton ancient (50% sites)",1.95,0.0100671140939597,0.0184509532335619,0.0287037037037037
"137","singleton ancient (50% sites)",2.05,0.0049496644295302,0.0134228187919463,0.0218869294956251
"138","singleton ancient (50% sites)",2.15,0.00830536912751678,0.0168067701624749,0.0268930919937631
"139","singleton ancient (50% sites)",2.25,0.023489932885906,0.0336135403249497,0.0420302013422819
"140","singleton ancient (50% sites)",2.35,0.00828937622051132,0.0134454161299799,0.0185671027952907
"141","singleton ancient (50% sites)",2.45,0.0116610738255034,0.0168067701624749,0.0201342281879195
"142","singleton ancient (50% sites)",2.55,0.010049437723059,0.0134228187919463,0.0167518686449238
"143","singleton ancient (50% sites)",2.65,0,0.00502798328885285,0.0101010101010101
"144","singleton ancient (50% sites)",2.75,0.00669962514870598,0.0100671140939597,0.0167518686449238
"145","singleton ancient (50% sites)",2.85,0.00334448160535117,0.00671140939597315,0.0101010101010101
"146","singleton ancient (50% sites)",2.95,0.0100671140939597,0.0134680134680135,0.0201698189953224
"147","singleton ancient (50% sites)",3.05,0.00334981257435299,0.0100502794550066,0.0134465459968816
"148","singleton ancient (50% sites)",3.15,0.0201342281879195,0.023489932885906,0.031952467822033
"149","singleton ancient (50% sites)",3.25,0.00335570469798658,0.0100671140939597,0.016808182496102
"150","singleton ancient (50% sites)",3.35,0.0133779264214047,0.0134228187919463,0.0134680134680135
"151","singleton ancient (50% sites)",3.45,0.0100832146973087,0.0134454161299799,0.0201698189953224
"152","singleton ancient (50% sites)",3.55,0.00334981257435299,0.00671140939597315,0.0101010101010101
"153","singleton ancient (50% sites)",3.65,0.00671140939597315,0.0100840620974849,0.0134680134680135
"154","singleton ancient (50% sites)",3.75,0.00669962514870598,0.00838372577503012,0.0101010101010101
"155","singleton ancient (50% sites)",3.85,0,0.00335570469798658,0.00672327299844078
"156","singleton ancient (50% sites)",3.95,0.00668896321070234,0.00671140939597315,0.0101010101010101
"157","singleton ancient (50% sites)",4.05,0,0.00335570469798658,0.00672327299844078
"158","singleton ancient (50% sites)",4.15,0.00668896321070234,0.00671140939597315,0.00673400673400673
"159","singleton ancient (50% sites)",4.25,0.00335570469798658,0.00502798328885285,0.00673400673400673
"160","singleton ancient (50% sites)",4.35,0.010049437723059,0.0133779264214047,0.0134680134680135
"161","singleton ancient (50% sites)",4.45,0.00668896321070234,0.00671140939597315,0.00673400673400673
"162","singleton ancient (50% sites)",4.55,0,0.00167785234899329,0.00336700336700337
"163","singleton ancient (50% sites)",4.65,0.00668896321070234,0.00672270806498994,0.0101010101010101
"164","singleton ancient (50% sites)",4.75,0,0.00335009315166887,0.00336700336700337
"165","singleton ancient (50% sites)",4.85,0,0.00334448160535117,0.00336700336700337
"166","singleton ancient (50% sites)",4.95,0,0.00167224080267559,0.00336700336700337
"167","singleton ancient (50% sites)",5.05,0.00334448160535117,0.00335570469798658,0.00336700336700337
