"","sample","median.bin.age","lowerCI","median","upperCI"
"1","baseline (taphonomic loss) replicates",0.25,0.0165383767070179,0.0274765394416029,0.0359318310689811
"2","baseline (taphonomic loss) replicates",0.35,0.0251470071131633,0.0358344151648266,0.046430442577149
"3","baseline (taphonomic loss) replicates",0.45,0.0234813689436122,0.031746438078523,0.0443417237672438
"4","baseline (taphonomic loss) replicates",0.55,0.0283770282083995,0.0446846609000301,0.0562953536860411
"5","baseline (taphonomic loss) replicates",0.65,0.0317561723406469,0.0436153100353402,0.0626282011669546
"6","baseline (taphonomic loss) replicates",0.75,0.0255280243247645,0.0369961536431286,0.0479081511007316
"7","baseline (taphonomic loss) replicates",0.85,0.0201235971768517,0.0339549072322395,0.0396209969120826
"8","baseline (taphonomic loss) replicates",0.95,0.0108365463145769,0.0229747160426273,0.0304180678141662
"9","baseline (taphonomic loss) replicates",1.05,0.0175032849187548,0.0262835548928149,0.0385470910609541
"10","baseline (taphonomic loss) replicates",1.15,0.0172996389466025,0.0264579362394472,0.03446932476083
"11","baseline (taphonomic loss) replicates",1.25,0.0144203640265932,0.0267148066940908,0.0406586421117478
"12","baseline (taphonomic loss) replicates",1.35,0.0115645962163409,0.0242216503116021,0.0339128859064596
"13","baseline (taphonomic loss) replicates",1.45,0.0126818811660892,0.0243161707270864,0.0326693466920565
"14","baseline (taphonomic loss) replicates",1.55,0.0081810095708158,0.0175348224341553,0.0301804665922012
"15","baseline (taphonomic loss) replicates",1.65,0.00834212607335318,0.0202134654934214,0.0321824256271366
"16","baseline (taphonomic loss) replicates",1.75,0.00947918872761575,0.0189546429225156,0.0308214629301596
"17","baseline (taphonomic loss) replicates",1.85,0.0118710575069313,0.0177827291196501,0.0268662514535625
"18","baseline (taphonomic loss) replicates",1.95,0.00906967459427883,0.0175538875393571,0.0308423215188927
"19","baseline (taphonomic loss) replicates",2.05,0.00527651838564144,0.0153048322906076,0.0255698206242525
"20","baseline (taphonomic loss) replicates",2.15,0.00107106888992646,0.0149507823098723,0.0262459221702193
"21","baseline (taphonomic loss) replicates",2.25,0.00687598838707326,0.0177646837921158,0.0247915668902727
"22","baseline (taphonomic loss) replicates",2.35,0.00344762915888881,0.0114800973601045,0.0221947407172678
"23","baseline (taphonomic loss) replicates",2.45,0.00334822248687655,0.0160310349517138,0.0214364840266172
"24","baseline (taphonomic loss) replicates",2.55,0.0122119744975849,0.0186483295898121,0.033995801200658
"25","baseline (taphonomic loss) replicates",2.65,0.00267308296119123,0.00898021318722604,0.020124512727632
"26","baseline (taphonomic loss) replicates",2.75,0.00639590772596826,0.0147667773593859,0.0265125794547804
"27","baseline (taphonomic loss) replicates",2.85,0.00654978692418466,0.0156131406080043,0.0218752946737233
"28","baseline (taphonomic loss) replicates",2.95,0.00254300090496923,0.0137931422444898,0.0293562373385701
