"","sample","median.bin.age","lowerCI","median","upperCI"
"1","baseline (taphonomic loss) replicates",0.25,0.03225442685969,0.0537548138639281,0.0669378798247735
"2","baseline (taphonomic loss) replicates",0.35,0.0465587044534413,0.066555611432403,0.0872303153236216
"3","baseline (taphonomic loss) replicates",0.45,0.0424163643116304,0.0557791053619038,0.0767385330796872
"4","baseline (taphonomic loss) replicates",0.55,0.0493939393939394,0.0765288485166535,0.0954502814258912
"5","baseline (taphonomic loss) replicates",0.65,0.0526822888865165,0.0708502024291498,0.096887263424569
"6","baseline (taphonomic loss) replicates",0.75,0.0383824839004923,0.0586451560135771,0.0741067249180839
"7","baseline (taphonomic loss) replicates",0.85,0.0300804828973843,0.0489797958342184,0.0590124173002863
"8","baseline (taphonomic loss) replicates",0.95,0.0152743228014525,0.0322914375554958,0.0437978118324971
"9","baseline (taphonomic loss) replicates",1.05,0.0242145178764897,0.0354202608727723,0.0514481000926784
"10","baseline (taphonomic loss) replicates",1.15,0.0232996710038094,0.0345880317255311,0.0444067237432693
"11","baseline (taphonomic loss) replicates",1.25,0.0183303997988433,0.0343090934269585,0.0509713532081953
"12","baseline (taphonomic loss) replicates",1.35,0.014020486159783,0.0294098285112406,0.0403697488575176
"13","baseline (taphonomic loss) replicates",1.45,0.0150868782093918,0.0283688234472904,0.0378210552513688
"14","baseline (taphonomic loss) replicates",1.55,0.00902008845096987,0.0194065356203831,0.0335820633471452
"15","baseline (taphonomic loss) replicates",1.65,0.00904899194372879,0.0222897898514425,0.0355726382836899
"16","baseline (taphonomic loss) replicates",1.75,0.0101616108203236,0.0201818196629168,0.0326442646023927
"17","baseline (taphonomic loss) replicates",1.85,0.0121328671328671,0.0182186234817814,0.0257157464212679
"18","baseline (taphonomic loss) replicates",1.95,0.00908467805107316,0.0171994098844357,0.0307845109378929
"19","baseline (taphonomic loss) replicates",2.05,0.00499559212459594,0.0142132126189416,0.0235249834443292
"20","baseline (taphonomic loss) replicates",2.15,0.000953815261044177,0.0141845282089185,0.024420736464347
"21","baseline (taphonomic loss) replicates",2.25,0.00612640343920865,0.0161779740727109,0.022389757769521
"22","baseline (taphonomic loss) replicates",2.35,0.00298368298368298,0.0101420295579474,0.0192291400223202
"23","baseline (taphonomic loss) replicates",2.45,0.00287878787878788,0.0132199895680684,0.0181857881569335
"24","baseline (taphonomic loss) replicates",2.55,0.00998252645470319,0.0152254755642043,0.0273835319609967
"25","baseline (taphonomic loss) replicates",2.65,0.00202558701061916,0.00708536935901121,0.0161616161616162
"26","baseline (taphonomic loss) replicates",2.75,0.00499559212459594,0.0111486917414508,0.0203264392874559
"27","baseline (taphonomic loss) replicates",2.85,0.00501012145748988,0.012096823364429,0.0162898764521483
"28","baseline (taphonomic loss) replicates",2.95,0.00190763052208835,0.0101112337954443,0.0215080971659919
"29","baseline (taphonomic loss) replicates",3.05,0.000961538461538462,0.00813021564901264,0.0143783129512918
"30","baseline (taphonomic loss) replicates",3.15,0.00203035587658108,0.00810537812779726,0.0195617264609118
"31","baseline (taphonomic loss) replicates",3.25,0.00298410064130145,0.00709162953179198,0.0154514387815026
"32","baseline (taphonomic loss) replicates",3.35,0.000965447154471545,0.00612870915237261,0.0141614318782257
"33","baseline (taphonomic loss) replicates",3.45,0.00192307692307692,0.00813008130081301,0.0172726880784423
"34","baseline (taphonomic loss) replicates",3.55,0.00298194495562917,0.00614777332185525,0.0122344007182403
"35","baseline (taphonomic loss) replicates",3.65,0.000955734406438632,0.00610392190954025,0.0133540295849206
"36","baseline (taphonomic loss) replicates",3.75,0.00203646092583375,0.00606674027726659,0.0122461984431422
"37","baseline (taphonomic loss) replicates",3.85,0,0.00406505744372333,0.00616153310986022
"38","baseline (taphonomic loss) replicates",3.95,0,0.00407333665173387,0.00922084642625567
"39","baseline (taphonomic loss) replicates",4.05,0.00202178518264056,0.00404858299595142,0.00813008130081301
"40","baseline (taphonomic loss) replicates",4.15,0,0.00203666832586693,0.0081231395895347
"41","baseline (taphonomic loss) replicates",4.25,0,0.00405679513184584,0.00827351018355544
"42","baseline (taphonomic loss) replicates",4.35,0,0.00403227445480967,0.00813877436126704
"43","baseline (taphonomic loss) replicates",4.45,0,0.00405681182317896,0.0112592897401367
"44","baseline (taphonomic loss) replicates",4.55,0,0.00304269690772758,0.012262053362459
"45","baseline (taphonomic loss) replicates",4.65,0,0.00404858299595142,0.0102200634417129
"46","baseline (taphonomic loss) replicates",4.75,0,0.00203875505012719,0.00918341895000701
"47","baseline (taphonomic loss) replicates",4.85,0,0.00204082482642577,0.00813877436126704
"48","baseline (taphonomic loss) replicates",4.95,0,0.00202843094900121,0.00714147867718915
"49","baseline (taphonomic loss) replicates",5.05,0,0.00204498977505112,0.00820915899516305
"50","baseline (taphonomic loss) replicates",5.15,0,0.00405268906389863,0.010135814889336
"51","baseline (taphonomic loss) replicates",5.25,0,0.00202224675908886,0.0072565054684848
"52","baseline (taphonomic loss) replicates",5.35,0,0.00203459010150183,0.00611132542714568
"53","baseline (taphonomic loss) replicates",5.45,0,0.00202840591158948,0.00513746645262717
"54","baseline (taphonomic loss) replicates",5.55,0,0.00302636206741426,0.00715058750773036
"55","baseline (taphonomic loss) replicates",5.65,0,0.00203873810216551,0.00712703962703962
"56","baseline (taphonomic loss) replicates",5.75,0,0.00203873810216551,0.00606704698809962
"57","baseline (taphonomic loss) replicates",5.85,0,0.00202429149797571,0.00718240311237468
"58","baseline (taphonomic loss) replicates",5.95,0,0.00203045894556309,0.00712703962703962
"59","baseline (taphonomic loss) replicates",6.05,0,0.00203252032520325,0.00511271249076127
"60","baseline (taphonomic loss) replicates",6.15,0,0.00100401606425703,0.00612621055920025
"61","baseline (taphonomic loss) replicates",6.25,0,0.00201411707435804,0.00513099939561031
"62","baseline (taphonomic loss) replicates",6.35,0,0.00202429149797571,0.00410768873990682
"63","baseline (taphonomic loss) replicates",6.45,0,0.00203045894556309,0.00408601477400776
"64","baseline (taphonomic loss) replicates",6.55,0,0.00201818196629168,0.00608230467883805
"65","baseline (taphonomic loss) replicates",6.65,0,0.00100603621730382,0.00404900936341099
"66","baseline (taphonomic loss) replicates",6.75,0,0.00101214574898785,0.00416119962511715
"67","baseline (taphonomic loss) replicates",6.85,0,0.00202429149797571,0.00407375145180023
"68","baseline (taphonomic loss) replicates",6.95,0,0.00201005228156085,0.00404996168456769
