"","sample","median.bin.age","lowerCI","median","upperCI"
"1","baseline (no loss) replicates",0.25,0.0304297722342733,0.0464341692789969,0.0654457961738475
"2","baseline (no loss) replicates",0.35,0.043931334622824,0.0600861136054892,0.0785560344827586
"3","baseline (no loss) replicates",0.45,0.0373055759354365,0.0515021459227468,0.0675630838459786
"4","baseline (no loss) replicates",0.55,0.0450053075141534,0.060804119627649,0.0748700521200169
"5","baseline (no loss) replicates",0.65,0.0440647163120567,0.0593978578892372,0.0799941474834179
"6","baseline (no loss) replicates",0.75,0.0375874125874126,0.0493562231759657,0.0711814765694076
"7","baseline (no loss) replicates",0.85,0.0259938019439358,0.0413961038961039,0.066188687448575
"8","baseline (no loss) replicates",0.95,0.0259111721611722,0.0355909162856957,0.0483704061895551
"9","baseline (no loss) replicates",1.05,0.0234517639570831,0.0314143377657576,0.0492005481432676
"10","baseline (no loss) replicates",1.15,0.0159527972027972,0.0336629601335484,0.0434125818838943
"11","baseline (no loss) replicates",1.25,0.020420405774483,0.0327524969607399,0.045316826163709
"12","baseline (no loss) replicates",1.35,0.0206668331668332,0.0280184126305815,0.0430155764392482
"13","baseline (no loss) replicates",1.45,0.0161632087291495,0.0292436793267966,0.0385482007263123
"14","baseline (no loss) replicates",1.55,0.0138526652939831,0.0223858883433352,0.0362689393939394
"15","baseline (no loss) replicates",1.65,0.0141200466200466,0.0226191582272601,0.030366776684868
"16","baseline (no loss) replicates",1.75,0.00757409257409257,0.0172416996451331,0.0270642234003759
"17","baseline (no loss) replicates",1.85,0.00854624036951156,0.0214133744176663,0.0280238002341007
"18","baseline (no loss) replicates",1.95,0.00646241754157763,0.0172416996451331,0.029921468359054
"19","baseline (no loss) replicates",2.05,0.00530633391844575,0.0170757931951962,0.0312433365781301
"20","baseline (no loss) replicates",2.15,0.00432262981214292,0.0139403150041448,0.0225956933392278
"21","baseline (no loss) replicates",2.25,0.00747465591238715,0.0170212765957447,0.0332953459304463
"22","baseline (no loss) replicates",2.35,0.00534539626498188,0.0087815693078851,0.0215567694108467
"23","baseline (no loss) replicates",2.45,0.00642218451944241,0.0131291657090324,0.0226740891440462
"24","baseline (no loss) replicates",2.55,0.00747465591238715,0.017168646955881,0.031768902739052
"25","baseline (no loss) replicates",2.65,0.00215665325959444,0.00750207239568942,0.0183728448275862
"26","baseline (no loss) replicates",2.75,0.00318774257351844,0.0118774842179097,0.0204234595192042
"27","baseline (no loss) replicates",2.85,0.00437549378725849,0.0128755364806867,0.0215795290925201
"28","baseline (no loss) replicates",2.95,0.00641677647833965,0.0119322737348488,0.0194208211143695
"29","baseline (no loss) replicates",3.05,0.00101495726495727,0.00654345654345654,0.0141406316026706
"30","baseline (no loss) replicates",3.15,0.00429508302642631,0.00863007959782153,0.0196314102564102
"31","baseline (no loss) replicates",3.25,0.00429184549356223,0.00859292076237944,0.0162878787878788
"32","baseline (no loss) replicates",3.35,0.00101713062098501,0.00645164274086133,0.0130556011153026
"33","baseline (no loss) replicates",3.45,0.0031749902458057,0.0106838094629331,0.0173520663234432
"34","baseline (no loss) replicates",3.55,0.00216827610872675,0.00860219032114844,0.0162292277614858
"35","baseline (no loss) replicates",3.65,0.00213436025003189,0.00648710060499518,0.0141535681771733
"36","baseline (no loss) replicates",3.75,0.00101063829787234,0.00642401232529988,0.0141839948844259
"37","baseline (no loss) replicates",3.85,0.00101279317697228,0.00650054934219793,0.0128820116054159
"38","baseline (no loss) replicates",3.95,0.00213892549277988,0.00535599152620429,0.0131777450090744
"39","baseline (no loss) replicates",4.05,0,0.00533281698482847,0.0130465604264731
"40","baseline (no loss) replicates",4.15,0,0.00427807975987847,0.0108877652519894
"41","baseline (no loss) replicates",4.25,0.00101279317697228,0.00432900432900433,0.00755919139705543
"42","baseline (no loss) replicates",4.35,0,0.0042735823212492,0.0142910194380783
"43","baseline (no loss) replicates",4.45,0,0.00429646038118972,0.00761904761904762
"44","baseline (no loss) replicates",4.55,0,0.00323065224186272,0.00878205128205128
"45","baseline (no loss) replicates",4.65,0,0.00432900432900433,0.0151547388781431
"46","baseline (no loss) replicates",4.75,0,0.0032281738290322,0.0117983735022097
"47","baseline (no loss) replicates",4.85,0,0.00216218490537811,0.00872556017410532
"48","baseline (no loss) replicates",4.95,0,0.0042735823212492,0.0108836650652025
"49","baseline (no loss) replicates",5.05,0,0.00219539232697127,0.00996883554831436
"50","baseline (no loss) replicates",5.15,0,0.00431967457829527,0.00988178488178488
"51","baseline (no loss) replicates",5.25,0,0.00213447414939952,0.00550439798812901
"52","baseline (no loss) replicates",5.35,0,0.00216450216450216,0.00853934120005467
"53","baseline (no loss) replicates",5.45,0.00101063829787234,0.00321900321900322,0.00971030042918455
"54","baseline (no loss) replicates",5.55,0,0.00430109516057422,0.0107566045066045
"55","baseline (no loss) replicates",5.65,0,0.00213675213675214,0.00869770695098206
"56","baseline (no loss) replicates",5.75,0.00101279317697228,0.00219539232697127,0.00858800773694391
"57","baseline (no loss) replicates",5.85,0,0.00215285502410085,0.00864028213166144
"58","baseline (no loss) replicates",5.95,0,0.00214362518495373,0.00760707829230983
"59","baseline (no loss) replicates",6.05,0,0.00215983728914763,0.00763143776824034
"60","baseline (no loss) replicates",6.15,0,0.00213220585561011,0.00540562274832733
"61","baseline (no loss) replicates",6.25,0,0.00213447414939952,0.00872458638962621
"62","baseline (no loss) replicates",6.35,0,0.00216450216450216,0.00433499549244985
"63","baseline (no loss) replicates",6.45,0,0.00215054758028711,0.00974164724164724
"64","baseline (no loss) replicates",6.55,0,0,0.00885364635364635
"65","baseline (no loss) replicates",6.65,0,0.00214364488558037,0.00546999915846167
"66","baseline (no loss) replicates",6.75,0,0.00213903987993924,0.00642470012105205
"67","baseline (no loss) replicates",6.85,0,0,0.00331439393939394
"68","baseline (no loss) replicates",6.95,0,0.00214362518495373,0.00429284556439729
"69","baseline (no loss) replicates",7.05,0,0,0.00553845467523197
"70","baseline (no loss) replicates",7.15,0,0.00212765957446809,0.00445304695304695
"71","baseline (no loss) replicates",7.25,0,0.00215054758028711,0.00429669112557109
"72","baseline (no loss) replicates",7.35,0,0,0.00545650470219435
"73","baseline (no loss) replicates",7.45,0,0,0.00667497993349386
"74","baseline (no loss) replicates",7.55,0,0.00213675213675214,0.00439273049645389
"75","baseline (no loss) replicates",7.65,0,0,0.00545210166177908
"76","baseline (no loss) replicates",7.75,0,0,0.00543510139098374
"77","baseline (no loss) replicates",7.85,0,0,0.0043325461088619
"78","baseline (no loss) replicates",7.95,0,0,0.00332924836601307
"79","baseline (no loss) replicates",8.05,0,0,0.00327302178108629
"80","baseline (no loss) replicates",8.15,0,0,0.0033098451766574
"81","baseline (no loss) replicates",8.25,0,0,0.00330758566052683
"82","baseline (no loss) replicates",8.35,0,0,0.00328070764751987
"83","baseline (no loss) replicates",8.45,0,0,0.00217192937781173
"84","baseline (no loss) replicates",8.55,0,0,0.00112419700214132
"85","baseline (no loss) replicates",8.65,0,0,0.0021513209013209
"86","baseline (no loss) replicates",8.75,0,0,0.00217755305039788
"87","baseline (no loss) replicates",8.85,0,0,0.00217192937781173
"88","baseline (no loss) replicates",8.95,0,0,0.00111702127659574
"89","baseline (no loss) replicates",9.05,0,0,0.00218114659740655
"90","baseline (no loss) replicates",9.15,0,0,0.00214592274678112
"91","baseline (no loss) replicates",9.25,0,0,0.00218421491740364
"92","baseline (no loss) replicates",9.35,0,0,0.0033098451766574
"93","baseline (no loss) replicates",9.45,0,0,0.00218843369340382
"94","baseline (no loss) replicates",9.55,0,0,0.00327692578067189
"95","baseline (no loss) replicates",9.65,0,0,0.0021513209013209
"96","baseline (no loss) replicates",9.75,0,0,0.00216749774622493
"97","baseline (no loss) replicates",9.85,0,0,0.00218198468198468
"98","baseline (no loss) replicates",9.95,0,0,0.00326694449828778
"99","baseline (no loss) replicates",10.05,0,0,0.00218843369340382
"100","baseline (no loss) replicates",10.15,0,0,0.00113636363636363
"101","baseline (no loss) replicates",10.25,0,0,0.0021418254350368
"102","baseline (no loss) replicates",10.35,0,0,0
"103","baseline (no loss) replicates",10.45,0,0,0
"104","baseline (no loss) replicates",10.55,0,0,0.00213243316966721
"105","baseline (no loss) replicates",10.65,0,0,0.00431628387625334
"106","baseline (no loss) replicates",10.75,0,0,0.00213967055593686
"107","baseline (no loss) replicates",10.85,0,0,0.00216529622601729
"108","baseline (no loss) replicates",10.95,0,0,0.00218198468198468
"109","baseline (no loss) replicates",11.05,0,0,0.00111702127659574
"110","baseline (no loss) replicates",11.15,0,0,0.00112660944206008
"111","baseline (no loss) replicates",11.25,0,0,0.00112660944206008
"112","baseline (no loss) replicates",11.35,0,0,0
"113","baseline (no loss) replicates",11.45,0,0,0.00111702127659574
"114","baseline (no loss) replicates",11.55,0,0,0
"115","baseline (no loss) replicates",11.65,0,0,0.00111702127659574
"116","baseline (no loss) replicates",11.75,0,0,0.00113146551724138
"117","baseline (no loss) replicates",11.85,0,0,0.00113636363636363
"118","baseline (no loss) replicates",11.95,0,0,0.00113636363636363
"119","singleton ancient (50% sites)",0.25,0.0210462811341894,0.0280211017053122,0.0408438128772636
"120","singleton ancient (50% sites)",0.35,0.0388430583501006,0.0528169014084507,0.0760245364300431
"121","singleton ancient (50% sites)",0.45,0.0276486280487805,0.0424780091722427,0.0584513263325536
"122","singleton ancient (50% sites)",0.55,0.0456834243495021,0.0548558897243108,0.0669014084507042
"123","singleton ancient (50% sites)",0.65,0.0330720029239766,0.0421793921423276,0.056150891362159
"124","singleton ancient (50% sites)",0.75,0.021013986013986,0.0314137082429765,0.0408438128772636
"125","singleton ancient (50% sites)",0.85,0.0103900709219858,0.0245617058997341,0.0354405141093913
"126","singleton ancient (50% sites)",0.95,0.0141800804828974,0.0229094076655052,0.0300541246733856
"127","singleton ancient (50% sites)",1.05,0.0242859937402191,0.0387323943661972,0.0529947240961771
"128","singleton ancient (50% sites)",1.15,0.0141319548496654,0.0211640869954711,0.0281870373355487
"129","singleton ancient (50% sites)",1.25,0.013869669063331,0.020979020979021,0.0303501773049645
"130","singleton ancient (50% sites)",1.35,0.0105091185410334,0.0211267605633803,0.0300763947643458
"131","singleton ancient (50% sites)",1.45,0.014058561897702,0.0176680651283588,0.0284217965220464
"132","singleton ancient (50% sites)",1.55,0.00873511904761905,0.0210526315789474,0.0281277026860066
"133","singleton ancient (50% sites)",1.65,0.017511655011655,0.0246920492721165,0.0333986899939671
"134","singleton ancient (50% sites)",1.75,0.0157904068682344,0.0280705210282675,0.0372040755169314
"135","singleton ancient (50% sites)",1.85,0.0105231405670947,0.0176056338028169,0.0301125012486265
"136","singleton ancient (50% sites)",1.95,0.0104339067944251,0.0175747467259699,0.0266666666666667
"137","singleton ancient (50% sites)",2.05,0.00519000572381355,0.0140845070422535,0.023164437152953
"138","singleton ancient (50% sites)",2.15,0.00871478873239437,0.0176367391628926,0.0281944444444444
"139","singleton ancient (50% sites)",2.25,0.0244307521746546,0.0351494934519397,0.0438392594228504
"140","singleton ancient (50% sites)",2.35,0.00866233989301664,0.0140845070422535,0.0196021905612213
"141","singleton ancient (50% sites)",2.45,0.0121659837071208,0.0175438596491228,0.0213163473915348
"142","singleton ancient (50% sites)",2.55,0.0104512674825175,0.0140597973807759,0.0176678445229682
"143","singleton ancient (50% sites)",2.65,0,0.00525793650793651,0.0105457746478873
"144","singleton ancient (50% sites)",2.75,0.00700466200466201,0.0105635112516273,0.0175221461523361
"145","singleton ancient (50% sites)",2.85,0.00353356890459364,0.00702989869038794,0.0106426056338028
"146","singleton ancient (50% sites)",2.95,0.010598966137249,0.0140845070422535,0.0177672261484099
"147","singleton ancient (50% sites)",3.05,0.00350819954693194,0.0104895104895105,0.0141901408450704
"148","singleton ancient (50% sites)",3.15,0.021013986013986,0.0246046454163578,0.0337108112172017
"149","singleton ancient (50% sites)",3.25,0.003502331002331,0.0105635112516273,0.0176711866946359
"150","singleton ancient (50% sites)",3.35,0.0139118757259001,0.0140845070422535,0.0142857142857143
"151","singleton ancient (50% sites)",3.45,0.010598966137249,0.0142602948652771,0.020979020979021
"152","singleton ancient (50% sites)",3.55,0.00350819954693194,0.00705469566515702,0.0106225878402085
"153","singleton ancient (50% sites)",3.65,0.00698021490704418,0.0106007067137809,0.0142108982610232
"154","singleton ancient (50% sites)",3.75,0.00696751165501166,0.00879790940766551,0.0106204420720247
"155","singleton ancient (50% sites)",3.85,0,0.00353356890459364,0.00703051643192488
"156","singleton ancient (50% sites)",3.95,0.00698021490704418,0.00709219858156028,0.0107142857142857
"157","singleton ancient (50% sites)",4.05,0,0.00350263771316403,0.00704225352112676
"158","singleton ancient (50% sites)",4.15,0.00695593786295006,0.00704225352112676,0.00714285714285714
"159","singleton ancient (50% sites)",4.25,0.00347796893147503,0.00528221778221778,0.0071054491305116
"160","singleton ancient (50% sites)",4.35,0.0104512674825175,0.0139616481079896,0.0142615658362989
"161","singleton ancient (50% sites)",4.45,0.00695593786295006,0.00704225352112676,0.00714285714285714
"162","singleton ancient (50% sites)",4.55,0,0.00174216027874564,0.00353423733892718
"163","singleton ancient (50% sites)",4.65,0.00695593786295006,0.00707966819537378,0.0106225878402085
"164","singleton ancient (50% sites)",4.75,0,0.00348436285936286,0.00357142857142857
"165","singleton ancient (50% sites)",4.85,0,0.0034965034965035,0.00356539145907473
"166","singleton ancient (50% sites)",4.95,0,0.00173611111111111,0.00355344522968198
"167","singleton ancient (50% sites)",5.05,0.00347796893147503,0.00352112676056338,0.00357142857142857
"168","singleton ancient (50% sites)",5.15,0,0,0
"169","singleton ancient (50% sites)",5.25,0.00347796893147503,0.00352112676056338,0.00357142857142857
"170","singleton ancient (50% sites)",5.35,0.00347796893147503,0.00352112676056338,0.00357142857142857
"171","singleton ancient (50% sites)",5.45,0.00347796893147503,0.00352112676056338,0.00357142857142857
"172","singleton ancient (50% sites)",5.55,0.0105263157894737,0.0140845070422535,0.0176711866946359
"173","singleton ancient (50% sites)",5.65,0.00347796893147503,0.00352112676056338,0.00357142857142857
"174","singleton ancient (50% sites)",5.75,0.00347796893147503,0.00352112676056338,0.00357142857142857
"175","singleton ancient (50% sites)",5.85,0.00347796893147503,0.00355240907599505,0.00708029471468311
"176","singleton ancient (50% sites)",5.95,0,0,0
"177","singleton ancient (50% sites)",6.05,0.00347796893147503,0.00352112676056338,0.00357142857142857
"178","singleton ancient (50% sites)",6.15,0.00347796893147503,0.00355876393110436,0.00713078291814947
"179","singleton ancient (50% sites)",6.25,0.0104339067944251,0.0105633802816901,0.0107142857142857
"180","singleton ancient (50% sites)",6.35,0,0,0
"181","singleton ancient (50% sites)",6.45,0.0104703223605663,0.0139374514374514,0.0142375886524823
"182","singleton ancient (50% sites)",6.55,0,0,0
"183","singleton ancient (50% sites)",6.65,0,0,0
"184","singleton ancient (50% sites)",6.75,0.00347796893147503,0.00352112676056338,0.00357142857142857
"185","singleton ancient (50% sites)",6.85,0.00347796893147503,0.00352112676056338,0.00357142857142857
"186","singleton ancient (50% sites)",6.95,0.00695593786295006,0.00704225352112676,0.00714285714285714
"187","singleton ancient (50% sites)",7.05,0,0,0
"188","singleton ancient (50% sites)",7.15,0,0,0
"189","singleton ancient (50% sites)",7.25,0.00347796893147503,0.00352112676056338,0.00357142857142857
"190","singleton ancient (50% sites)",7.35,0,0.00174216027874564,0.00355939716312057
"191","singleton ancient (50% sites)",7.45,0,0,0
"192","singleton ancient (50% sites)",7.55,0.00347796893147503,0.00352112676056338,0.00357142857142857
"193","singleton ancient (50% sites)",7.65,0,0,0
"194","singleton ancient (50% sites)",7.75,0.0104339067944251,0.0105633802816901,0.0107142857142857
"195","singleton ancient (50% sites)",7.85,0.00349010745352209,0.00355240907599505,0.00714285714285714
"196","singleton ancient (50% sites)",7.95,0.00347796893147503,0.00352112676056338,0.00357142857142857
"197","singleton ancient (50% sites)",8.05,0,0,0
"198","singleton ancient (50% sites)",8.15,0.00347796893147503,0.00352112676056338,0.00357142857142857
"199","singleton ancient (50% sites)",8.25,0,0,0
"200","singleton ancient (50% sites)",8.35,0.00695593786295006,0.00704225352112676,0.00714285714285714
"201","singleton ancient (50% sites)",8.45,0.00347796893147503,0.00352112676056338,0.00357142857142857
"202","singleton ancient (50% sites)",8.55,0,0,0
"203","singleton ancient (50% sites)",8.65,0,0,0
"204","singleton ancient (50% sites)",8.75,0.00347796893147503,0.00352112676056338,0.00357142857142857
"205","singleton ancient (50% sites)",8.85,0,0,0
"206","singleton ancient (50% sites)",8.95,0,0,0
"207","singleton ancient (50% sites)",9.05,0.00347796893147503,0.00352112676056338,0.00357142857142857
"208","singleton ancient (50% sites)",9.15,0.00347796893147503,0.00352112676056338,0.00357142857142857
"209","singleton ancient (50% sites)",9.25,0,0,0
"210","singleton ancient (50% sites)",9.35,0,0,0
"211","singleton ancient (50% sites)",9.45,0,0,0
"212","singleton ancient (50% sites)",9.55,0,0,0
"213","singleton ancient (50% sites)",9.65,0.00347796893147503,0.00352112676056338,0.00357142857142857
"214","singleton ancient (50% sites)",9.75,0,0,0
"215","singleton ancient (50% sites)",9.85,0,0,0
"216","singleton ancient (50% sites)",9.95,0.00347796893147503,0.00352112676056338,0.00357142857142857
"217","singleton ancient (50% sites)",10.05,0,0,0
"218","singleton ancient (50% sites)",10.15,0,0,0
"219","singleton ancient (50% sites)",10.25,0,0,0
"220","singleton ancient (50% sites)",10.35,0,0,0
"221","singleton ancient (50% sites)",10.45,0,0,0
"222","singleton ancient (50% sites)",10.55,0.00347796893147503,0.00352112676056338,0.00357142857142857
"223","singleton ancient (50% sites)",10.65,0,0,0
"224","singleton ancient (50% sites)",10.75,0,0,0
"225","singleton ancient (50% sites)",10.85,0,0,0
"226","singleton ancient (50% sites)",10.95,0.00347796893147503,0.00352112676056338,0.00357142857142857
"227","singleton ancient (50% sites)",11.05,0,0,0
"228","singleton ancient (50% sites)",11.15,0,0,0
"229","singleton ancient (50% sites)",11.25,0,0,0
"230","singleton ancient (50% sites)",11.35,0,0,0
"231","singleton ancient (50% sites)",11.45,0,0,0
"232","singleton ancient (50% sites)",11.55,0,0,0
"233","singleton ancient (50% sites)",11.65,0,0,0
"234","singleton ancient (50% sites)",11.75,0,0,0
"235","singleton ancient (50% sites)",11.85,0,0,0
"236","singleton ancient (50% sites)",11.95,0,0,0
"237","singleton ancient (75% sites)",0.25,0.010466869534227,0.021220308454351,0.034481479407565
"238","singleton ancient (75% sites)",0.35,0.0180245670559807,0.0392293980529275,0.0557769423558897
"239","singleton ancient (75% sites)",0.45,0.0154639175257732,0.0339061647572286,0.0605139156792505
"240","singleton ancient (75% sites)",0.55,0.0154603427660422,0.036951919326982,0.0612745098039216
"241","singleton ancient (75% sites)",0.65,0.0178621464446207,0.0308485329103886,0.0505005569479253
"242","singleton ancient (75% sites)",0.75,0.0130659983291562,0.0262468999724442,0.0422767980159823
