"","sample","median.bin.age","lowerCI","median","upperCI"
"1","baseline (taphonomic loss) replicates",0.25,0.034834246372873,0.0519568151147098,0.0669064645308924
"2","baseline (taphonomic loss) replicates",0.35,0.0443208491259962,0.0625,0.0785800332317917
"3","baseline (taphonomic loss) replicates",0.45,0.0409825859067338,0.054826934452957,0.0758790403058428
"4","baseline (taphonomic loss) replicates",0.55,0.0456370107245903,0.0673019766948153,0.0853980455834306
"5","baseline (taphonomic loss) replicates",0.65,0.0482530472633811,0.0643143262195412,0.0838576158940397
"6","baseline (taphonomic loss) replicates",0.75,0.0369517543859649,0.0573858246374848,0.0649586451453942
"7","baseline (taphonomic loss) replicates",0.85,0.0293366114316573,0.0474173169825344,0.0544439400602424
"8","baseline (taphonomic loss) replicates",0.95,0.0162706983441325,0.0337237288456801,0.0418987221752195
"9","baseline (taphonomic loss) replicates",1.05,0.0239767146365142,0.0374873575290777,0.0520462137432476
"10","baseline (taphonomic loss) replicates",1.15,0.0237433638314696,0.0330036598117811,0.0432620830878847
"11","baseline (taphonomic loss) replicates",1.25,0.0195272957339118,0.0334548349254232,0.0490336632300378
"12","baseline (taphonomic loss) replicates",1.35,0.0150445464362851,0.0296052631578947,0.0407743424021427
"13","baseline (taphonomic loss) replicates",1.45,0.0162013729977117,0.028603171836877,0.0388228068804517
"14","baseline (taphonomic loss) replicates",1.55,0.00982890395141771,0.0204841323052855,0.03367719476991
"15","baseline (taphonomic loss) replicates",1.65,0.00991988574069431,0.0219781281397326,0.0371176831647364
"16","baseline (taphonomic loss) replicates",1.75,0.0097683066361556,0.0195653098549615,0.0348687389845926
"17","baseline (taphonomic loss) replicates",1.85,0.0118972805810506,0.0192936905473094,0.0266184055012356
"18","baseline (taphonomic loss) replicates",1.95,0.00965845464725644,0.0174865267744525,0.0308040395914439
"19","baseline (taphonomic loss) replicates",2.05,0.00536876355748373,0.0152841342486651,0.0243707259401705
"20","baseline (taphonomic loss) replicates",2.15,0.00103036876355748,0.0132304460717099,0.0249807493661377
"21","baseline (taphonomic loss) replicates",2.25,0.00652672786177106,0.0162188383177964,0.0240514640807742
"22","baseline (taphonomic loss) replicates",2.35,0.00327475331494565,0.0108820241749081,0.0203440325084467
"23","baseline (taphonomic loss) replicates",2.45,0.00302547770700637,0.0140693250669297,0.0184846748174563
"24","baseline (taphonomic loss) replicates",2.55,0.0106290471785384,0.0164981991402347,0.0287422285987566
"25","baseline (taphonomic loss) replicates",2.65,0.00218508414001357,0.00768324082527813,0.0151720307644718
"26","baseline (taphonomic loss) replicates",2.75,0.00536275258957378,0.0120425556419337,0.0217677038626609
"27","baseline (taphonomic loss) replicates",2.85,0.00541628384651277,0.0127796831618488,0.0176587244457242
"28","baseline (taphonomic loss) replicates",2.95,0.00206073752711497,0.0108820241749081,0.0232459723655544
"29","baseline (taphonomic loss) replicates",3.05,0.00101063829787234,0.00879188827538899,0.0156316533069081
"30","baseline (taphonomic loss) replicates",3.15,0.0021680503784028,0.00860314523589269,0.0209972149596453
"31","baseline (taphonomic loss) replicates",3.25,0.00320512820512821,0.00765908436510222,0.0155579650685734
"32","baseline (taphonomic loss) replicates",3.35,0.00104166666666667,0.00665188470066519,0.0152717918712182
"33","baseline (taphonomic loss) replicates",3.45,0.00202127659574468,0.00873379099923722,0.0183248417049713
"34","baseline (taphonomic loss) replicates",3.55,0.00313400641459999,0.00655034324942792,0.013262011975346
"35","baseline (taphonomic loss) replicates",3.65,0.00103485838779956,0.00659343844191978,0.014273672545506
"36","baseline (taphonomic loss) replicates",3.75,0.00220960274280356,0.00645946321791128,0.0132344789356984
"37","baseline (taphonomic loss) replicates",3.85,0,0.00436689549961861,0.00665349046446113
"38","baseline (taphonomic loss) replicates",3.95,0,0.00444446639242663,0.00987916519345992
"39","baseline (taphonomic loss) replicates",4.05,0.00215697820561757,0.00440048797490415,0.00882078361583569
"40","baseline (taphonomic loss) replicates",4.15,0,0.00222223319621331,0.00874469670909299
"41","baseline (taphonomic loss) replicates",4.25,0,0.00436689549961861,0.0088398385312666
"42","baseline (taphonomic loss) replicates",4.35,0,0.00431983579025938,0.00886208216006201
