"","sample","median.bin.age","lowerCI","median","upperCI"
"1","baseline (no loss) replicates",0.25,0,0.00432918687188137,0.0112366427569153
"2","baseline (no loss) replicates",0.35,0.00101713062098501,0.00440547870766155,0.0145154840988706
"3","baseline (no loss) replicates",0.45,0.000997899159663866,0.00442994505494505,0.0143586282033063
"4","baseline (no loss) replicates",0.55,0.00217329659579094,0.00654314527637713,0.0143367435659634
"5","baseline (no loss) replicates",0.65,0.000997899159663866,0.00545102697731453,0.0132499088256747
"6","baseline (no loss) replicates",0.75,0.00215252736862596,0.0044199380720279,0.0118973905351614
"7","baseline (no loss) replicates",0.85,0.002165996750594,0.0066079295154185,0.0144080493537015
"8","baseline (no loss) replicates",0.95,0,0.00432445067788686,0.0111434396952018
"9","baseline (no loss) replicates",1.05,0.000997899159663866,0.00645173225542385,0.0144806580396476
"10","baseline (no loss) replicates",1.15,0.0031672077548295,0.00657174939537026,0.0133403133087059
"11","baseline (no loss) replicates",1.25,0.00103938730853392,0.00643087555486118,0.0150326797385621
"12","baseline (no loss) replicates",1.35,0.00217557595392369,0.00681874535085544,0.014303863983185
"13","baseline (no loss) replicates",1.45,0,0.00656455142231947,0.0155692457163045
"14","baseline (no loss) replicates",1.55,0.00217069892473118,0.00665217904342354,0.0109070259727904
"15","baseline (no loss) replicates",1.65,0.00216146782985965,0.00438116626358018,0.00769693260368663
"16","baseline (no loss) replicates",1.75,0.00204301075268817,0.00643087555486118,0.0142566554764311
"17","baseline (no loss) replicates",1.85,0.00212444655281467,0.00666719345726082,0.0133505404656319
"18","baseline (no loss) replicates",1.95,0.00216841956659843,0.00443513492250806,0.0162040036278829
"19","baseline (no loss) replicates",2.05,0.00104625550660793,0.00760504002652646,0.0144317100214893
"20","baseline (no loss) replicates",2.15,0.00214232848500451,0.00650061038595173,0.0101386542792793
"21","baseline (no loss) replicates",2.25,0.00314459481823364,0.0077976654474226,0.0164387871853547
"22","baseline (no loss) replicates",2.35,0,0.00445489542405842,0.0120940226310789
"23","baseline (no loss) replicates",2.45,0.00312483057739225,0.0077322124660393,0.015521035741624
"24","baseline (no loss) replicates",2.55,0.00433683913319687,0.00865902286113233,0.0166987885462555
"25","baseline (no loss) replicates",2.65,0,0.00324762932696014,0.0141355682057769
"26","baseline (no loss) replicates",2.75,0,0.00656455142231947,0.01519211312675
"27","baseline (no loss) replicates",2.85,0.00318994239891574,0.00855897914721444,0.0153515485301481
"28","baseline (no loss) replicates",2.95,0.00218317815820712,0.00857450073981491,0.0143562839297181
"29","baseline (no loss) replicates",3.05,0.0010894495412844,0.00770551276065982,0.0151226082751951
"30","baseline (no loss) replicates",3.15,0,0.00859292076237944,0.0155805065203952
"31","baseline (no loss) replicates",3.25,0.00321575665428511,0.0087527352297593,0.0167764735863764
"32","baseline (no loss) replicates",3.35,0.00315218598452597,0.00659343844191978,0.0112135014478764
"33","baseline (no loss) replicates",3.45,0.00320613624197002,0.00680359567202863,0.0131291028446389
"34","baseline (no loss) replicates",3.55,0,0.0066527023837621,0.0154562510660072
"35","baseline (no loss) replicates",3.65,0.00218774689362925,0.00664550441071131,0.0140821086143709
"36","baseline (no loss) replicates",3.75,0.00217286494866802,0.00870512456190206,0.016371015668481
"37","baseline (no loss) replicates",3.85,0.00102150537634409,0.00659343844191978,0.0165793738063545
"38","baseline (no loss) replicates",3.95,0.00103485838779956,0.00766430396836877,0.0140650311889023
"39","baseline (no loss) replicates",4.05,0.00428465697000901,0.00772302221872974,0.0152822580645161
"40","baseline (no loss) replicates",4.15,0.00102150537634409,0.00439082697924599,0.0186638450214133
"41","baseline (no loss) replicates",4.25,0.00227188197371684,0.00974892345342024,0.0189944611597374
"42","baseline (no loss) replicates",4.35,0.00101931330472103,0.00637706695581458,0.0112135014478764
"43","baseline (no loss) replicates",4.45,0.00220706123145148,0.00663924794359577,0.0153660338751847
"44","baseline (no loss) replicates",4.55,0.00223824604019031,0.00658624046886899,0.0175674293597184
"45","baseline (no loss) replicates",4.65,0.00319545218968645,0.0100816614578082,0.0183333333333333
"46","baseline (no loss) replicates",4.75,0.00322929721392076,0.00850275594108611,0.0140417736538158
"47","baseline (no loss) replicates",4.85,0.00212444655281467,0.00658624046886899,0.015446850166993
"48","baseline (no loss) replicates",4.95,0.00102591792656587,0.0109649650131051,0.0208694462943583
"49","baseline (no loss) replicates",5.05,0.00219046316557257,0.00863995372119821,0.0142478732372777
"50","baseline (no loss) replicates",5.15,0.00319432654216186,0.013015429353887,0.023531256900809
"51","baseline (no loss) replicates",5.25,0.00102591792656587,0.00643353621536142,0.0112519197348745
"52","baseline (no loss) replicates",5.35,0.00103260869565217,0.00879125125589304,0.0133846127172212
"53","baseline (no loss) replicates",5.45,0.00324741315594974,0.0108468036046211,0.0190547648204284
"54","baseline (no loss) replicates",5.55,0.00655637254901961,0.0110132158590308,0.0176603265443528
"55","baseline (no loss) replicates",5.65,0.00221861631872573,0.0120431494062626,0.0208293430377322
"56","baseline (no loss) replicates",5.75,0.00541877621871836,0.0130456977557619,0.0190774384355384
"57","baseline (no loss) replicates",5.85,0.00319064890716826,0.0109411285881874,0.0172849412203769
"58","baseline (no loss) replicates",5.95,0.00434659319158187,0.0108237785764154,0.0228127915655906
"59","baseline (no loss) replicates",6.05,0.00645514223194748,0.0131868768838396,0.0248380855191367
"60","baseline (no loss) replicates",6.15,0.00430990036926078,0.0132013361088251,0.0219577497373215
"61","baseline (no loss) replicates",6.25,0.00305139186295503,0.00878165395849198,0.0218558519896049
"62","baseline (no loss) replicates",6.35,0.00442316729323308,0.0132013361088251,0.0252729715103945
"63","baseline (no loss) replicates",6.45,0.00656455142231947,0.0129733520336606,0.0232674331148598
"64","baseline (no loss) replicates",6.55,0.00859245927361669,0.0170990135184509,0.020191641740108
"65","baseline (no loss) replicates",6.65,0.00319180725159408,0.010605419898152,0.0229125625993877
"66","baseline (no loss) replicates",6.75,0.00103938730853392,0.00963806575261684,0.0183333333333333
"67","baseline (no loss) replicates",6.85,0.00324159177559913,0.0129310945446945,0.0197619747635894
"68","baseline (no loss) replicates",6.95,0.00223075388911049,0.00887990932833982,0.0155519791341044
"69","baseline (no loss) replicates",7.05,0.00450705872780162,0.0110132158590308,0.018476388790852
"70","baseline (no loss) replicates",7.15,0.00436635631641424,0.00962846845521578,0.0163862944546331
"71","baseline (no loss) replicates",7.25,0.00650630302516975,0.0131151457238414,0.0294590114668344
"72","baseline (no loss) replicates",7.35,0.00848738096669611,0.0174713301385213,0.0244067638266069
"73","baseline (no loss) replicates",7.45,0.00656267956330205,0.014252049919446,0.0242223036003392
"74","baseline (no loss) replicates",7.55,0.00765418502202643,0.0130161643255453,0.0225734351797229
"75","baseline (no loss) replicates",7.65,0.00981604706109263,0.0153677462887989,0.0224809368191721
"76","baseline (no loss) replicates",7.75,0.00664145676129172,0.0128755957726048,0.0217876091651798
"77","baseline (no loss) replicates",7.85,0.00399159663865546,0.0151199190120969,0.02440424295263
"78","baseline (no loss) replicates",7.95,0.0066271930681463,0.00978790885825931,0.028501487045065
"79","baseline (no loss) replicates",8.05,0.00331247727548176,0.0110748626373626,0.0231400437636761
