"","sample","median.bin.age","lowerCI","median","upperCI"
"1","baseline (taphonomic loss) replicates",0.25,0,0.000834560621883106,0.00191309219286381
"2","baseline (taphonomic loss) replicates",0.35,0.000871538764539614,0.00176619994008285,0.00271649535953021
"3","baseline (taphonomic loss) replicates",0.45,0.000217368509790862,0.00188208280383672,0.00333457984563249
"4","baseline (taphonomic loss) replicates",0.55,0.000480354765162263,0.00225146915016961,0.00499976820612756
"5","baseline (taphonomic loss) replicates",0.65,0.000744031077446778,0.00261729636575687,0.00464610207596474
"6","baseline (taphonomic loss) replicates",0.75,0.000248927297696901,0.00212197553697042,0.00354847252095281
"7","baseline (taphonomic loss) replicates",0.85,0.00107437045200166,0.0028822890324446,0.00429252471098595
"8","baseline (taphonomic loss) replicates",0.95,0.000578770411857241,0.00202835120303091,0.00355806134096132
"9","baseline (taphonomic loss) replicates",1.05,0.00091990453351977,0.00275263765826415,0.0049721319106727
"10","baseline (taphonomic loss) replicates",1.15,0.00123038324540454,0.00221895862796846,0.00349228235687044
"11","baseline (taphonomic loss) replicates",1.25,0.000993254993106342,0.00322269293398361,0.00596384889148426
"12","baseline (taphonomic loss) replicates",1.35,0.000314043630227951,0.0027747075249602,0.00516809194367116
"13","baseline (taphonomic loss) replicates",1.45,0.00033175766471644,0.00288399013235815,0.00558922894063499
"14","baseline (taphonomic loss) replicates",1.55,0,0.00289209063039412,0.0045357547372309
"15","baseline (taphonomic loss) replicates",1.65,0.000353200131994424,0.00299790719017364,0.00503388948256756
"16","baseline (taphonomic loss) replicates",1.75,0.000783108921636307,0.0034527928700043,0.00564927040143785
"17","baseline (taphonomic loss) replicates",1.85,0.00117180737016169,0.00247622048890694,0.0061998101860004
"18","baseline (taphonomic loss) replicates",1.95,0.000828860907573165,0.00256565033740542,0.00752757268084156
"19","baseline (taphonomic loss) replicates",2.05,0.00176729294960537,0.00304271761281147,0.00624711038102643
"20","baseline (taphonomic loss) replicates",2.15,0.000437038528906905,0.00268069201334119,0.00451123774640559
"21","baseline (taphonomic loss) replicates",2.25,0.00225013139617219,0.0032638182965016,0.00922286158101995
"22","baseline (taphonomic loss) replicates",2.35,0.000969223753203127,0.00278666595118802,0.00689544179025617
"23","baseline (taphonomic loss) replicates",2.45,0.00145394016162823,0.00381639176888663,0.00745440248774379
"24","baseline (taphonomic loss) replicates",2.55,0.00294743145552437,0.0050582474637569,0.0133129416082294
"25","baseline (taphonomic loss) replicates",2.65,0.00101888389434752,0.00261071329407376,0.00861379813491261
"26","baseline (taphonomic loss) replicates",2.75,0.00049920138333563,0.00328384788160573,0.00932392395014618
"27","baseline (taphonomic loss) replicates",2.85,0.00160458102553072,0.00325425320407399,0.0114839181595741
"28","baseline (taphonomic loss) replicates",2.95,0.00163974924323366,0.00438987538243698,0.00930488311783863
"29","baseline (taphonomic loss) replicates",3.05,0.00116271330073853,0.00459576917905906,0.01009386164441
"30","baseline (taphonomic loss) replicates",3.15,0.00173749210295696,0.00486253836076541,0.012369648072889
"31","baseline (taphonomic loss) replicates",3.25,0.00238290204408891,0.00665414647452028,0.010435888903353
"32","baseline (taphonomic loss) replicates",3.35,0.0012591380016143,0.00376875752047686,0.00772821496346485
"33","baseline (taphonomic loss) replicates",3.45,0.00125781925344793,0.00508629789128264,0.0117137835913898
"34","baseline (taphonomic loss) replicates",3.55,0.00128995899107485,0.00649447553499655,0.0110648269585171
"35","baseline (taphonomic loss) replicates",3.65,0.00136350222542618,0.00535473837590522,0.0107320060866161
"36","baseline (taphonomic loss) replicates",3.75,0.00202131458145515,0.00540800198509743,0.0128986267696206
"37","baseline (taphonomic loss) replicates",3.85,0.00068325022007795,0.00568713672287008,0.0120097811930355
"38","baseline (taphonomic loss) replicates",3.95,0.00142174184797281,0.00439906637897541,0.0108596864142549
"39","baseline (taphonomic loss) replicates",4.05,0.00211277564005383,0.00591101026065835,0.0119444314145296
"40","baseline (taphonomic loss) replicates",4.15,0.00148383271771991,0.00613453083375098,0.0130300770810228
"41","baseline (taphonomic loss) replicates",4.25,0.00152415655507379,0.00619851095848546,0.012655181188468
"42","baseline (taphonomic loss) replicates",4.35,0.00157046791581788,0.00481288909207523,0.00793196848428583
"43","baseline (taphonomic loss) replicates",4.45,0.00469118658775239,0.00740363019423755,0.0116402594951767
"44","baseline (taphonomic loss) replicates",4.55,0.000756883950687242,0.00502118328780212,0.0123704055504175
"45","baseline (taphonomic loss) replicates",4.65,0.00242749476699127,0.00989367824153191,0.014603812161845
"46","baseline (taphonomic loss) replicates",4.75,0.00175008443130266,0.0058508508314929,0.0126925535463222
"47","baseline (taphonomic loss) replicates",4.85,0.00253282978055793,0.0068642581293808,0.0122664305307447
"48","baseline (taphonomic loss) replicates",4.95,0.00352839070100608,0.00870100518603296,0.0136266303808643
"49","baseline (taphonomic loss) replicates",5.05,0.0018122407489676,0.00634641166998727,0.0139225584701664
"50","baseline (taphonomic loss) replicates",5.15,0.00455130733002917,0.0095215911168914,0.0215051882711523
"51","baseline (taphonomic loss) replicates",5.25,0,0.00384352904775453,0.0114382555203065
"52","baseline (taphonomic loss) replicates",5.35,0.00386905779028665,0.00962212291245514,0.0135983629353034
"53","baseline (taphonomic loss) replicates",5.45,0.00396777781974289,0.00798408232703032,0.0174213601036904
"54","baseline (taphonomic loss) replicates",5.55,0.00282863420409424,0.01171320414779,0.0183457559109916
"55","baseline (taphonomic loss) replicates",5.65,0.00416396165982278,0.0102256015529779,0.0217157594743172
"56","baseline (taphonomic loss) replicates",5.75,0.000963103128403082,0.0136599665772027,0.0206990255292104
"57","baseline (taphonomic loss) replicates",5.85,0.0030346369920603,0.00848016817602444,0.0200983324896007
"58","baseline (taphonomic loss) replicates",5.95,0.00320414220948038,0.010588729480043,0.0167710197377763
