"","sample","median.bin.age","lowerCI","median","upperCI"
"1","baseline (taphonomic loss) replicates",0.25,0,0.00425549252798892,0.0100656487207292
"2","baseline (taphonomic loss) replicates",0.35,0.00429140475697083,0.00864873962151246,0.0133192904656319
"3","baseline (taphonomic loss) replicates",0.45,0.00102150537634409,0.0088790342448879,0.0150897385875927
"4","baseline (taphonomic loss) replicates",0.55,0.00220184376516254,0.00891871737509321,0.0219350556912837
"5","baseline (taphonomic loss) replicates",0.65,0.00323530811325244,0.0110994490928264,0.0172900226129494
"6","baseline (taphonomic loss) replicates",0.75,0.00101713062098501,0.00867683041596085,0.014303863983185
"7","baseline (taphonomic loss) replicates",0.85,0.00416132843800789,0.011062163485071,0.0152680261818459
"8","baseline (taphonomic loss) replicates",0.95,0.00217616273562565,0.00665966945569583,0.0130542058195156
"9","baseline (taphonomic loss) replicates",1.05,0.00328935946467457,0.00977009321056512,0.0174311752420733
"10","baseline (taphonomic loss) replicates",1.15,0.00425413439207573,0.00761778784389483,0.012140522875817
"11","baseline (taphonomic loss) replicates",1.25,0.00324873245215556,0.00985569985569986,0.0196100721473325
"12","baseline (taphonomic loss) replicates",1.35,0.00103711790393013,0.0088398761440558,0.0165888055445892
"13","baseline (taphonomic loss) replicates",1.45,0.00104625550660793,0.00869581655607856,0.0174850788688361
"14","baseline (taphonomic loss) replicates",1.55,0,0.00877209857068657,0.0132291924471167
"15","baseline (taphonomic loss) replicates",1.65,0.00102150537634409,0.00862068965517241,0.0143258264133443
"16","baseline (taphonomic loss) replicates",1.75,0.00220892803063607,0.00865837374376274,0.0151377487097015
"17","baseline (taphonomic loss) replicates",1.85,0.00320006790595026,0.0065359477124183,0.016336253952718
"18","baseline (taphonomic loss) replicates",1.95,0.00218090875360333,0.00663729809104258,0.0173237159557269
"19","baseline (taphonomic loss) replicates",2.05,0.00433716684234302,0.00758403450771174,0.0144281045751634
"20","baseline (taphonomic loss) replicates",2.15,0.00103260869565217,0.0065359477124183,0.0111605482134116
"21","baseline (taphonomic loss) replicates",2.25,0.00530026668877558,0.00766233766233766,0.0211505376344086
"22","baseline (taphonomic loss) replicates",2.35,0.00216858342117151,0.00647960254705759,0.015155804761467
"23","baseline (taphonomic loss) replicates",2.45,0.00317402323516353,0.00858373051506988,0.0154836601307189
"24","baseline (taphonomic loss) replicates",2.55,0.00644434445521252,0.0108345541281647,0.0280919791185568
"25","baseline (taphonomic loss) replicates",2.65,0.00216164095371669,0.00540838382261825,0.0177365437310586
"26","baseline (taphonomic loss) replicates",2.75,0.00103485838779956,0.00652890526575036,0.0187018266286559
"27","baseline (taphonomic loss) replicates",2.85,0.00317009212668344,0.00663729809104258,0.02209678184925
"28","baseline (taphonomic loss) replicates",2.95,0.00215273915461624,0.00857450073981491,0.0178942583449132
"29","baseline (taphonomic loss) replicates",3.05,0.00218216499761564,0.00877209857068657,0.0174271983697694
"30","baseline (taphonomic loss) replicates",3.15,0.00313992217686083,0.00876359412944779,0.0216999510615871
"31","baseline (taphonomic loss) replicates",3.25,0.00430094958064205,0.0119795384249346,0.0173423486876086
"32","baseline (taphonomic loss) replicates",3.35,0.00216407421289355,0.0065359477124183,0.0131058481403403
"33","baseline (taphonomic loss) replicates",3.45,0.00217528776467245,0.00881125667151868,0.0196115984038548
"34","baseline (taphonomic loss) replicates",3.55,0.00217864923747277,0.0107411509529743,0.0182863724069167
"35","baseline (taphonomic loss) replicates",3.65,0.00214705447898299,0.00866764330253174,0.0176179061933143
"36","baseline (taphonomic loss) replicates",3.75,0.00320529327610873,0.00865837374376274,0.0197598253275109
"37","baseline (taphonomic loss) replicates",3.85,0.00102813852813853,0.00859300007383888,0.0175580266211927
"38","baseline (taphonomic loss) replicates",3.95,0.00215619208166078,0.0065359477124183,0.0164047636077534
"39","baseline (taphonomic loss) replicates",4.05,0.00321350762527233,0.00853867463731137,0.0174878397711016
"40","baseline (taphonomic loss) replicates",4.15,0.00216858342117151,0.00867683041596085,0.0188648807898481
"41","baseline (taphonomic loss) replicates",4.25,0.00221194322075379,0.00859300007383888,0.0176673143142951
"42","baseline (taphonomic loss) replicates",4.35,0.00214351030686236,0.0066079295154185,0.010951867816092
"43","baseline (taphonomic loss) replicates",4.45,0.00647716616982268,0.00979939666739625,0.0153949275362319
"44","baseline (taphonomic loss) replicates",4.55,0.00103711790393013,0.0065719386139184,0.0152684731052099
"45","baseline (taphonomic loss) replicates",4.65,0.00320967741935484,0.0127664775839668,0.0185095290314042
"46","baseline (taphonomic loss) replicates",4.75,0.00218755985443402,0.00767077698478349,0.016421146953405
"47","baseline (taphonomic loss) replicates",4.85,0.00320452837678817,0.00852940507854236,0.015143931814144
"48","baseline (taphonomic loss) replicates",4.95,0.00439869281045752,0.0107875994972769,0.016199903985524
"49","baseline (taphonomic loss) replicates",5.05,0.00217528776467245,0.00762517882689557,0.0162568573667712
"50","baseline (taphonomic loss) replicates",5.15,0.00438009271256226,0.0110994490928264,0.0251304244158321
"51","baseline (taphonomic loss) replicates",5.25,0,0.00435729847494553,0.0133192904656319
"52","baseline (taphonomic loss) replicates",5.35,0.00443805497245464,0.0108460380199511,0.0153850574712644
"53","baseline (taphonomic loss) replicates",5.45,0.0043523254712513,0.00873362445414847,0.0196935483870968
"54","baseline (taphonomic loss) replicates",5.55,0.00316666666666667,0.0129875606156441,0.0195875959079284
"55","baseline (taphonomic loss) replicates",5.65,0.00435964903933081,0.011062163485071,0.0230000047362388
"56","baseline (taphonomic loss) replicates",5.75,0.00101713062098501,0.0130861660530297,0.0185313343754441
"57","baseline (taphonomic loss) replicates",5.85,0.0031950142746403,0.00869569326887178,0.0207516339869281
"58","baseline (taphonomic loss) replicates",5.95,0.00320608041196277,0.0107920201916719,0.0166994258271284
"59","baseline (taphonomic loss) replicates",6.05,0.00426288390279388,0.0130861660530297,0.0262410771450687
"60","baseline (taphonomic loss) replicates",6.15,0.00216858342117151,0.0128893811435692,0.0291262602371167
"61","baseline (taphonomic loss) replicates",6.25,0.00430547830923248,0.00879227053140097,0.0230589362181654
"62","baseline (taphonomic loss) replicates",6.35,0.00326749877630935,0.0131004366812227,0.0309897023245523
"63","baseline (taphonomic loss) replicates",6.45,0.0031657267592114,0.0129872563718141,0.0165392156862745
"64","baseline (taphonomic loss) replicates",6.55,0.00439900657442462,0.0129310344827586,0.0196010373738809
"65","baseline (taphonomic loss) replicates",6.65,0.00436181750720667,0.0129733520336606,0.0227947045676508
"66","baseline (taphonomic loss) replicates",6.75,0.00213364347160458,0.00986937240913911,0.0163560466107716
"67","baseline (taphonomic loss) replicates",6.85,0.00421588110165696,0.0118141123263649,0.019630319376659
"68","baseline (taphonomic loss) replicates",6.95,0.00322610444079737,0.00764367816091954,0.0173248121146241
