"","sample","median.bin.age","lowerCI","median","upperCI"
"1","baseline (no loss) replicates",0.25,0.00229289746274074,0.008198171304742,0.0129138166894665
"2","baseline (no loss) replicates",0.35,0.00213963963963964,0.0115876255437993,0.0227706879361914
"3","baseline (no loss) replicates",0.45,0.00340987032472404,0.0115358823153727,0.0161777727990441
"4","baseline (no loss) replicates",0.55,0.00711364148181511,0.0117647058823529,0.0206705978723181
"5","baseline (no loss) replicates",0.65,0.00682238320612268,0.0175661550310832,0.0303528050108932
"6","baseline (no loss) replicates",0.75,0.00558686680899313,0.0106974159488747,0.0174461109436238
"7","baseline (no loss) replicates",0.85,0.00339272599546572,0.00947043989913141,0.016595064344005
"8","baseline (no loss) replicates",0.95,0.0022954368092466,0.00696887613045261,0.0166789510985117
"9","baseline (no loss) replicates",1.05,0.00344776524928678,0.0113383931877083,0.0200437232802176
"10","baseline (no loss) replicates",1.15,0.00108200455580866,0.00708462516449936,0.0152701172067369
"11","baseline (no loss) replicates",1.25,0.00344697867461844,0.0103112635188605,0.0219822506996612
"12","baseline (no loss) replicates",1.35,0.00111764705882353,0.0092921356802901,0.0195636527571261
"13","baseline (no loss) replicates",1.45,0.00233334241054409,0.0093567379456762,0.0208937986842315
"14","baseline (no loss) replicates",1.55,0.0011046511627907,0.0102495682749724,0.0151970852895149
"15","baseline (no loss) replicates",1.65,0.00228037465805432,0.0081461623129652,0.016624113275532
"16","baseline (no loss) replicates",1.75,0.00340725678840433,0.00922821470766676,0.0188632490379329
"17","baseline (no loss) replicates",1.85,0,0.00912201870169855,0.017412559618442
"18","baseline (no loss) replicates",1.95,0.00336243920924651,0.00921737283635977,0.0187608576140737
"19","baseline (no loss) replicates",2.05,0.0033749337572867,0.00831580200849442,0.0139075675385359
"20","baseline (no loss) replicates",2.15,0.00106502242152466,0.00684151402627391,0.0151133319044047
"21","baseline (no loss) replicates",2.25,0.003390644625636,0.0090707145501666,0.0204374876555402
"22","baseline (no loss) replicates",2.35,0.00106981981981982,0.00576110613237742,0.0130999407465929
"23","baseline (no loss) replicates",2.45,0.00332594461525889,0.0106063141454708,0.0153215318914451
"24","baseline (no loss) replicates",2.55,0.00342858227079539,0.00952515946137491,0.0184691429646587
"25","baseline (no loss) replicates",2.65,0.00108200455580866,0.00688087873240326,0.0127800161160355
"26","baseline (no loss) replicates",2.75,0.00108447488584475,0.00812117549293647,0.0174464256941834
"27","baseline (no loss) replicates",2.85,0.00230844322109845,0.00817026648736175,0.0199631143994462
"28","baseline (no loss) replicates",2.95,0.00110981308411215,0.00705217448952532,0.0152138791000271
"29","baseline (no loss) replicates",3.05,0.00108447488584475,0.00937877954920286,0.0206755410022779
"30","baseline (no loss) replicates",3.15,0.00229289746274074,0.00701755345925715,0.0179100023872046
"31","baseline (no loss) replicates",3.25,0.00109699769053118,0.00819141642671055,0.0190517678189393
"32","baseline (no loss) replicates",3.35,0.00232701074568544,0.00703400732262427,0.0139037920407343
"33","baseline (no loss) replicates",3.45,0.00455333416376017,0.0081461623129652,0.0142962437987243
"34","baseline (no loss) replicates",3.55,0.00108447488584475,0.00826562062202298,0.0127310380256215
"35","baseline (no loss) replicates",3.65,0,0.00915566729520218,0.0185563628216618
"36","baseline (no loss) replicates",3.75,0.00224694986466287,0.00592251911627776,0.0201516793066089
"37","baseline (no loss) replicates",3.85,0.00232815633978425,0.00476257973068746,0.014914383381817
"38","baseline (no loss) replicates",3.95,0,0.00700117639369976,0.0120241899599531
"39","baseline (no loss) replicates",4.05,0.00108447488584475,0.00462972886078663,0.0141176470588235
"40","baseline (no loss) replicates",4.15,0.00106981981981982,0.00704229232676677,0.0169245927407005
"41","baseline (no loss) replicates",4.25,0.00108200455580866,0.00469486155117785,0.0154082203501382
"42","baseline (no loss) replicates",4.35,0.00231432858214554,0.00692116103075007,0.0127856718353234
"43","baseline (no loss) replicates",4.45,0,0.00581714440972694,0.0129423861487943
"44","baseline (no loss) replicates",4.55,0.00108200455580866,0.00688886076750293,0.0129564270871128
"45","baseline (no loss) replicates",4.65,0.00456074931610863,0.00713663415627616,0.0163833017077799
"46","baseline (no loss) replicates",4.75,0.0022093023255814,0.00703400732262427,0.0194178734161413
"47","baseline (no loss) replicates",4.85,0.00109447004608295,0.00477424868252386,0.0153104575163399
"48","baseline (no loss) replicates",4.95,0.00111241217798595,0.00929183484060348,0.0198568836433779
"49","baseline (no loss) replicates",5.05,0.00108200455580866,0.00587384178747322,0.0126828298887122
"50","baseline (no loss) replicates",5.15,0.0045184848984981,0.0116686273228329,0.0200967144125709
"51","baseline (no loss) replicates",5.25,0,0.0046675017700561,0.0120192658746876
"52","baseline (no loss) replicates",5.35,0.00108447488584475,0.00467292270570959,0.015413981507425
"53","baseline (no loss) replicates",5.45,0.00110722610722611,0.0072464190904052,0.0199218622290515
"54","baseline (no loss) replicates",5.55,0.00336533896069639,0.00930277839375632,0.0198853359173127
"55","baseline (no loss) replicates",5.65,0.0022196261682243,0.00698510278428311,0.015193580839878
"56","baseline (no loss) replicates",5.75,0.0033749337572867,0.00721191352638301,0.0185288242009132
"57","baseline (no loss) replicates",5.85,0.00226443698824109,0.00583429608846344,0.0143571627039257
"58","baseline (no loss) replicates",5.95,0.00231092324638797,0.00801371669744131,0.0116836715197371
"59","baseline (no loss) replicates",6.05,0.00213963963963964,0.00710936403200899,0.0160958904109589
"60","baseline (no loss) replicates",6.15,0.0057749493497157,0.00940071803369235,0.018589065636399
"61","baseline (no loss) replicates",6.25,0.00226443698824109,0.00952515946137491,0.0150418196217772
"62","baseline (no loss) replicates",6.35,0.00573744014592992,0.0115217160454497,0.0215095676824947
"63","baseline (no loss) replicates",6.45,0.00234428257284222,0.0092807924203273,0.0195603332605236
"64","baseline (no loss) replicates",6.55,0.00474817301994865,0.00947915204267865,0.0176398885535175
"65","baseline (no loss) replicates",6.65,0.00114457831325301,0.00688886076750293,0.0174100974644311
"66","baseline (no loss) replicates",6.75,0,0.00721191352638301,0.0164803506352802
