"","sample","median.bin.age","lowerCI","median","upperCI"
"1","baseline (taphonomic loss) replicates",0.25,0.000667052981026282,0.00193784720750934,0.00442293780184954
"2","baseline (taphonomic loss) replicates",0.35,0.00117796285352056,0.00305571772444211,0.00613080135054113
"3","baseline (taphonomic loss) replicates",0.45,0.000722504436002731,0.00323874328304988,0.00643867829388598
"4","baseline (taphonomic loss) replicates",0.55,0.00194972484635109,0.00447616626518879,0.00732336004533509
"5","baseline (taphonomic loss) replicates",0.65,0.00229285582604811,0.00563794288066752,0.00924057007861753
"6","baseline (taphonomic loss) replicates",0.75,0.00175978437523646,0.00400353578621666,0.00641609031216663
"7","baseline (taphonomic loss) replicates",0.85,0.00181004986274079,0.00403791747621371,0.00755150725854402
"8","baseline (taphonomic loss) replicates",0.95,0.00131792051537376,0.00356490648201143,0.00656679432295739
"9","baseline (taphonomic loss) replicates",1.05,0.00133771673967623,0.00351077880552189,0.00669704580320686
"10","baseline (taphonomic loss) replicates",1.15,0.00166288611769499,0.0034593953357535,0.00638401334228663
"11","baseline (taphonomic loss) replicates",1.25,0.00108566923692168,0.00450109649243971,0.00870170142480325
"12","baseline (taphonomic loss) replicates",1.35,0.00188182529205871,0.00377419913578553,0.00743340705693506
"13","baseline (taphonomic loss) replicates",1.45,0.00153252936769724,0.00395978106429464,0.0078009149865245
"14","baseline (taphonomic loss) replicates",1.55,0.00128179330509153,0.00403655261457314,0.00670377044268138
"15","baseline (taphonomic loss) replicates",1.65,0.00120389259143139,0.00363022994152714,0.00630886904802329
"16","baseline (taphonomic loss) replicates",1.75,0.00130558688541082,0.00361276221981269,0.00776372436052341
"17","baseline (taphonomic loss) replicates",1.85,0.00089510936000933,0.00466542517946322,0.00903072016653649
"18","baseline (taphonomic loss) replicates",1.95,0.00237603340239792,0.00460766556690277,0.00788891550280254
"19","baseline (taphonomic loss) replicates",2.05,0.00132299252077063,0.00506651710310538,0.00841480373845734
"20","baseline (taphonomic loss) replicates",2.15,0.000466413124019078,0.00350328613696771,0.00770750426601173
"21","baseline (taphonomic loss) replicates",2.25,0.0036578948883944,0.00640170857194179,0.00947805258302487
"22","baseline (taphonomic loss) replicates",2.35,0.00109209351698983,0.00313496652616512,0.00646376450599825
"23","baseline (taphonomic loss) replicates",2.45,0.00106519832746589,0.00559579543333712,0.00930171793220598
"24","baseline (taphonomic loss) replicates",2.55,0.00345369591351747,0.00722522533810615,0.0126224977545612
"25","baseline (taphonomic loss) replicates",2.65,0.000490717749329871,0.00522658517967834,0.00914665950220807
"26","baseline (taphonomic loss) replicates",2.75,0.00164095423922112,0.00484107838731352,0.00668760641907245
"27","baseline (taphonomic loss) replicates",2.85,0.00178037501649607,0.00724614889355509,0.0107721099156094
"28","baseline (taphonomic loss) replicates",2.95,0.00129015920583496,0.00378480122995199,0.00927590679718672
"29","baseline (taphonomic loss) replicates",3.05,0.000572938371184691,0.00519902485906411,0.0103608139400057
