"","sample","median.bin.age","lowerCI","median","upperCI"
"1","baseline (no loss) replicates",0.25,0.0023355607966457,0.00836245559694403,0.0130935828877005
"2","baseline (no loss) replicates",0.35,0.00217391304347826,0.0117785793562708,0.0232545680126325
"3","baseline (no loss) replicates",0.45,0.00236894566895971,0.011507860835664,0.0164438333213925
"4","baseline (no loss) replicates",0.55,0.00727746839918678,0.0118484077649186,0.0208719433719434
"5","baseline (no loss) replicates",0.65,0.00690814635390107,0.018009656807471,0.0298669435952221
"6","baseline (no loss) replicates",0.75,0.00564001501501502,0.0106362217017955,0.017794715788766
"7","baseline (no loss) replicates",0.85,0.00348080521721592,0.00933551198257081,0.0169059919456535
"8","baseline (no loss) replicates",0.95,0.00232768995576373,0.00708383513983675,0.0170476951771916
"9","baseline (no loss) replicates",1.05,0.00351638500520338,0.01152128783575,0.0199908467196622
"10","baseline (no loss) replicates",1.15,0.00109953703703704,0.0072031406731002,0.0155890648730744
"11","baseline (no loss) replicates",1.25,0.00349294029800088,0.00956937799043062,0.0200385608313454
"12","baseline (no loss) replicates",1.35,0.00111764705882353,0.00933520691044955,0.0200278379214352
"13","baseline (no loss) replicates",1.45,0.00236624649859944,0.00947872621193488,0.0213561049087365
"14","baseline (no loss) replicates",1.55,0.00111764705882353,0.0104378049307025,0.0141923728292522
"15","baseline (no loss) replicates",1.65,0.00232768995576373,0.00826355963549548,0.0170096349332626
"16","baseline (no loss) replicates",1.75,0.00344723588187243,0.00946852974462983,0.0192313950965502
"17","baseline (no loss) replicates",1.85,0,0.0082010582010582,0.0176955481589349
"18","baseline (no loss) replicates",1.95,0.00339262293319573,0.00934625358263955,0.0190739751559854
"19","baseline (no loss) replicates",2.05,0.00342989390472228,0.00845021675495251,0.01413512763596
"20","baseline (no loss) replicates",2.15,0.00106981981981982,0.00698510278428311,0.0153371996685998
"21","baseline (no loss) replicates",2.25,0.00344610495293393,0.00921703026859998,0.0208234830575256
"22","baseline (no loss) replicates",2.35,0.00108695652173913,0.00476193175698275,0.0133641975308642
"23","baseline (no loss) replicates",2.45,0.00335491741741742,0.00976918947933441,0.015593775336584
"24","baseline (no loss) replicates",2.55,0.00346595910774495,0.00954653937947494,0.0187925664899349
"25","baseline (no loss) replicates",2.65,0.00109953703703704,0.00699315898433467,0.0130724928254118
"26","baseline (no loss) replicates",2.75,0.00111241217798595,0.00825526932084309,0.0177243340732519
"27","baseline (no loss) replicates",2.85,0.00236315974803396,0.00833333333333333,0.0190101631556403
"28","baseline (no loss) replicates",2.95,0.00112293144208038,0.0070556826849733,0.0142260260125345
"29","baseline (no loss) replicates",3.05,0.00111241217798595,0.00955795868495278,0.0209614071038251
"30","baseline (no loss) replicates",3.15,0.0023355607966457,0.00712605155808324,0.0182744866958432
"31","baseline (no loss) replicates",3.25,0.00112028301886792,0.00835042150831625,0.0182603149467757
