"","sample","median.bin.age","lowerCI","median","upperCI"
"1","baseline (taphonomic loss) replicates",0.25,0.00332607001133787,0.009101828649533,0.0203620689655172
"2","baseline (taphonomic loss) replicates",0.35,0.00557806384540117,0.0135747301177807,0.0272072727645422
"3","baseline (taphonomic loss) replicates",0.45,0.00331313540868886,0.0135752860177625,0.0274266365688487
"4","baseline (taphonomic loss) replicates",0.55,0.00796370650291293,0.0181409626845334,0.0285796387520525
"5","baseline (taphonomic loss) replicates",0.65,0.00789355089355089,0.0210989325812172,0.0354592368640534
"6","baseline (taphonomic loss) replicates",0.75,0.00662076244438721,0.0136685607534833,0.0225074404761905
"7","baseline (taphonomic loss) replicates",0.85,0.00670811370905978,0.0135440180586907,0.0263622915193884
"8","baseline (taphonomic loss) replicates",0.95,0.00454345860777476,0.011509324009324,0.0229002839667977
"9","baseline (taphonomic loss) replicates",1.05,0.00458465537472309,0.0115495617568137,0.0213615111982505
"10","baseline (taphonomic loss) replicates",1.15,0.00560471175768103,0.01124929138322,0.019196977347962
"11","baseline (taphonomic loss) replicates",1.25,0.00338803648634398,0.0134834184253185,0.0246795873710534
"12","baseline (taphonomic loss) replicates",1.35,0.00449794501133787,0.0113006037203886,0.0216139954853273
"13","baseline (taphonomic loss) replicates",1.45,0.00428482859226842,0.0113772858119163,0.0203944128059104
"14","baseline (taphonomic loss) replicates",1.55,0.0033495670995671,0.0114025233771232,0.0191670327894516
"15","baseline (taphonomic loss) replicates",1.65,0.00332789016904049,0.0090293453724605,0.0160050940438871
"16","baseline (taphonomic loss) replicates",1.75,0.00335942596216569,0.00919540229885057,0.0180423799110173
"17","baseline (taphonomic loss) replicates",1.85,0.00227248074628485,0.0113122750981506,0.0209267743750502
"18","baseline (taphonomic loss) replicates",1.95,0.00568214172730149,0.0113122750981506,0.0161577577673468
"19","baseline (taphonomic loss) replicates",2.05,0.00329326602486528,0.0114289446185998,0.019282507183908
"20","baseline (taphonomic loss) replicates",2.15,0.00106026785714286,0.00784580498866213,0.0172988505747126
"21","baseline (taphonomic loss) replicates",2.25,0.00773709468868112,0.0139064950690759,0.0201179775280899
"22","baseline (taphonomic loss) replicates",2.35,0.00231654061835292,0.00677200902934537,0.0135163241051454
"23","baseline (taphonomic loss) replicates",2.45,0.00224673140727499,0.0111988964133434,0.0182915360501567
"24","baseline (taphonomic loss) replicates",2.55,0.00680131840783229,0.0156784549786807,0.0249649001002854
"25","baseline (taphonomic loss) replicates",2.65,0.00103938730853392,0.0101382957087655,0.0182883176049463
"26","baseline (taphonomic loss) replicates",2.75,0.00332957110609481,0.00885064054552842,0.0127538417118475
"27","baseline (taphonomic loss) replicates",2.85,0.00336109156306201,0.01331894512772,0.018145076281514
"28","baseline (taphonomic loss) replicates",2.95,0.00224075052189441,0.00677200902934537,0.0147210120003057
"29","baseline (taphonomic loss) replicates",3.05,0.0010485651214128,0.0088910403011099,0.0182723526473526
"30","baseline (taphonomic loss) replicates",3.15,0.00103938730853392,0.00907686063936064,0.0172767056838553
"31","baseline (taphonomic loss) replicates",3.25,0.00561604029445951,0.0109892233155091,0.0170204951807661
"32","baseline (taphonomic loss) replicates",3.35,0.00109195402298851,0.0068104514533086,0.0135761589403973
"33","baseline (taphonomic loss) replicates",3.45,0.00226219908580437,0.0124105072740707,0.0162101117273531
"34","baseline (taphonomic loss) replicates",3.55,0,0.00919715205429491,0.0161552857089992
"35","baseline (taphonomic loss) replicates",3.65,0.0033199330408096,0.00803165088879375,0.0182399461118795
"36","baseline (taphonomic loss) replicates",3.75,0.00452439817160875,0.0102304968210906,0.0207962005354458
