"","sample","median.bin.age","lowerCI","median","upperCI"
"1","baseline (no loss) replicates",0.25,0.00432814842578711,0.0127397723430632,0.0193593591741783
"2","baseline (no loss) replicates",0.35,0.00962918327616576,0.0148936844440219,0.0271273523777327
"3","baseline (no loss) replicates",0.45,0.00852878464818763,0.0138807714786674,0.0237498952523719
"4","baseline (no loss) replicates",0.55,0.00533893926416921,0.0173163418290855,0.0237427846569221
"5","baseline (no loss) replicates",0.65,0.0129120700843608,0.0213676189258662,0.032047061498238
"6","baseline (no loss) replicates",0.75,0.0114776119402985,0.019271948608137,0.0310908787246504
"7","baseline (no loss) replicates",0.85,0.00849091900810054,0.0160599571734475,0.0334140182707154
"8","baseline (no loss) replicates",0.95,0.00321554015568635,0.0118670480047403,0.0194827190397436
"9","baseline (no loss) replicates",1.05,0.00750302578903268,0.0139355248794373,0.0244038828414319
"10","baseline (no loss) replicates",1.15,0.00204741379310345,0.0129457219998138,0.0247915314730694
"11","baseline (no loss) replicates",1.25,0.00862068965517241,0.0148622637341832,0.0217916526246339
"12","baseline (no loss) replicates",1.35,0.00435643188387911,0.0128517371861025,0.0258124788989044
"13","baseline (no loss) replicates",1.45,0.00737512227446278,0.0148311076197958,0.022587233453337
"14","baseline (no loss) replicates",1.55,0.00211805633486702,0.00850168045968704,0.0162372225739182
"15","baseline (no loss) replicates",1.65,0.00215403699006258,0.0105936482998541,0.0161600330912768
"16","baseline (no loss) replicates",1.75,0.00101279317697228,0.0108577761011035,0.0237413307124578
"17","baseline (no loss) replicates",1.85,0.00415053331385155,0.0127397723430632,0.0180573697274927
"18","baseline (no loss) replicates",1.95,0.00318871814092954,0.0118195819785485,0.020669140949219
"19","baseline (no loss) replicates",2.05,0.00430852274574838,0.0106271005746088,0.0172726510926341
"20","baseline (no loss) replicates",2.15,0.00313638812307887,0.0106387313199723,0.0202512332405768
"21","baseline (no loss) replicates",2.25,0.00633485727029438,0.0149253731343284,0.0194092562398094
"22","baseline (no loss) replicates",2.35,0.00101713062098501,0.00650061038595173,0.0107383014001474
"23","baseline (no loss) replicates",2.45,0.00320297161920916,0.00961098398169336,0.0160067496910353
"24","baseline (no loss) replicates",2.55,0.00652173913043478,0.014090789572534,0.0259089766389512
"25","baseline (no loss) replicates",2.65,0.00101713062098501,0.00636954160036423,0.0138867763095351
"26","baseline (no loss) replicates",2.75,0.00427306721211928,0.00965568171328349,0.0206264055472264
"27","baseline (no loss) replicates",2.85,0.00521481069354703,0.0108695652173913,0.0227862942331208
"28","baseline (no loss) replicates",2.95,0.00530808640265854,0.0107758620689655,0.0202380199486827
"29","baseline (no loss) replicates",3.05,0.00314130434782609,0.0129041806770301,0.0214553267763581
"30","baseline (no loss) replicates",3.15,0.00200845665961945,0.00872419370183617,0.0172413793103448
"31","baseline (no loss) replicates",3.25,0.00435684450351244,0.00864873962151246,0.0150580076065071
"32","baseline (no loss) replicates",3.35,0.00315705187118594,0.00854704757034649,0.015201711779685
"33","baseline (no loss) replicates",3.45,0.00102370689655172,0.00756493095741241,0.0215908138657927
"34","baseline (no loss) replicates",3.55,0.00201271186440678,0.0086304813332092,0.0181790843478895
"35","baseline (no loss) replicates",3.65,0.00430913153139762,0.00750413314482816,0.0173200899550225
"36","baseline (no loss) replicates",3.75,0.00434287465811563,0.0107184214396,0.0182236281594143
"37","baseline (no loss) replicates",3.85,0.0021426568991507,0.00747850017199862,0.0161834847501622
"38","baseline (no loss) replicates",3.95,0.00213599503214494,0.00847491863988329,0.0129544883194756
"39","baseline (no loss) replicates",4.05,0.00101279317697228,0.00650061038595173,0.0140515915963342
"40","baseline (no loss) replicates",4.15,0.00212272975202514,0.00748563548609515,0.0174031801775436
"41","baseline (no loss) replicates",4.25,0.00101713062098501,0.00639658848614072,0.0140650311889023
"42","baseline (no loss) replicates",4.35,0.00212706719603787,0.00652884342142654,0.0141446379941779
"43","baseline (no loss) replicates",4.45,0,0.00850168045968704,0.0163863402269825
