"","sample","median.bin.age","lowerCI","median","upperCI"
"1","baseline (taphonomic loss) replicates",0.25,0.00182398973284253,0.00354927561441092,0.00635758023444235
"2","baseline (taphonomic loss) replicates",0.35,0.00394293056701141,0.00561874364845874,0.00986043766868596
"3","baseline (taphonomic loss) replicates",0.45,0.0020526978817273,0.00497251385879281,0.00726743449268872
"4","baseline (taphonomic loss) replicates",0.55,0.00391459258620552,0.00766946438093906,0.0109331639280741
"5","baseline (taphonomic loss) replicates",0.65,0.00607914757393764,0.0087295381368325,0.0117644283978679
"6","baseline (taphonomic loss) replicates",0.75,0.00336122312935136,0.00655825833223021,0.0103377219754568
"7","baseline (taphonomic loss) replicates",0.85,0.00414729840446812,0.00704932837705532,0.0109970837734664
"8","baseline (taphonomic loss) replicates",0.95,0.00146074632177299,0.00524061036209387,0.00879178377949674
"9","baseline (taphonomic loss) replicates",1.05,0.0026325109481163,0.00618324472617454,0.011304695558696
"10","baseline (taphonomic loss) replicates",1.15,0.00447260170369541,0.00729499998456156,0.0125711876013626
"11","baseline (taphonomic loss) replicates",1.25,0.00464335043272233,0.00687267089322339,0.0118641879469662
"12","baseline (taphonomic loss) replicates",1.35,0.00293537334292588,0.00696245560684513,0.0117082647953217
"13","baseline (taphonomic loss) replicates",1.45,0.00357254025251592,0.00812224686473955,0.0107378311165672
"14","baseline (taphonomic loss) replicates",1.55,0.00232859372079798,0.00573634810946935,0.00886028172513427
"15","baseline (taphonomic loss) replicates",1.65,0.00382872117604049,0.0066340816673983,0.0109677820526493
"16","baseline (taphonomic loss) replicates",1.75,0.00408597461111909,0.0059658553728973,0.0102243701928118
"17","baseline (taphonomic loss) replicates",1.85,0.00305364564466226,0.00704258617040416,0.011291484254523
"18","baseline (taphonomic loss) replicates",1.95,0.00214699764936017,0.00626563942064926,0.0123194377938002
"19","baseline (taphonomic loss) replicates",2.05,0.00271642165087486,0.0053245622138762,0.00947742438999731
"20","baseline (taphonomic loss) replicates",2.15,0.00271088377967405,0.0056728387933051,0.0104044686081719
"21","baseline (taphonomic loss) replicates",2.25,0.00404334260047655,0.00727392477702282,0.0129270801380222
"22","baseline (taphonomic loss) replicates",2.35,0.00226036198327786,0.00547785318543729,0.00783474784814103
"23","baseline (taphonomic loss) replicates",2.45,0.00186391493785517,0.00559397956694202,0.00997641332224525
"24","baseline (taphonomic loss) replicates",2.55,0.00576408195891688,0.0102686744283811,0.014388654011879
"25","baseline (taphonomic loss) replicates",2.65,0.00128351668580605,0.00464932474912411,0.00859898621097281
"26","baseline (taphonomic loss) replicates",2.75,0.00338006561318488,0.00822088259689012,0.0122065519986279
