"","sample","median.bin.age","lowerCI","median","upperCI"
"1","baseline (taphonomic loss) replicates",0.25,0.00723688779319085,0.0135265072765073,0.0249697788065844
"2","baseline (taphonomic loss) replicates",0.35,0.014595131222979,0.0207280819328453,0.0368123925613377
"3","baseline (taphonomic loss) replicates",0.45,0.00722315871369295,0.0176980778246601,0.0250825471698113
"4","baseline (taphonomic loss) replicates",0.55,0.0134913366551503,0.0260856295779561,0.0370116213139469
"5","baseline (taphonomic loss) replicates",0.65,0.0199079632735941,0.0277217008584315,0.037941043224901
"6","baseline (taphonomic loss) replicates",0.75,0.010294346473029,0.0207483168896465,0.0314705882352941
"7","baseline (taphonomic loss) replicates",0.85,0.0124480231242269,0.020746887966805,0.0321315572267058
"8","baseline (taphonomic loss) replicates",0.95,0.00419705618096295,0.0147997496871089,0.0248834588391988
"9","baseline (taphonomic loss) replicates",1.05,0.00719804852320675,0.0166147635027303,0.0301188776630793
"10","baseline (taphonomic loss) replicates",1.15,0.0115948275862069,0.0188902397124508,0.0335665549749127
"11","baseline (taphonomic loss) replicates",1.25,0.0115107484076433,0.0170240509997102,0.0304457291237181
"12","baseline (taphonomic loss) replicates",1.35,0.00720954356846473,0.0166493416493416,0.02752025504364
"13","baseline (taphonomic loss) replicates",1.45,0.008306950423133,0.0187110995850622,0.0252659291564727
"14","baseline (taphonomic loss) replicates",1.55,0.0052377972465582,0.0127548254174799,0.0197506830601093
"15","baseline (taphonomic loss) replicates",1.65,0.00827133493670217,0.0145986830087249,0.0239652489626556
"16","baseline (taphonomic loss) replicates",1.75,0.00834844311168451,0.0126184221001513,0.0211076831210191
"17","baseline (taphonomic loss) replicates",1.85,0.00629558427144443,0.0144630568789167,0.0222820461783439
"18","baseline (taphonomic loss) replicates",1.95,0.00416666666666667,0.0125265873984449,0.0240515915044217
"19","baseline (taphonomic loss) replicates",2.05,0.00517463235294118,0.0102669837414828,0.0177526953592944
"20","baseline (taphonomic loss) replicates",2.15,0.00511052200194662,0.0104496060378413,0.0187911872384937
"21","baseline (taphonomic loss) replicates",2.25,0.00729768020761612,0.0125934931416339,0.022858606557377
"22","baseline (taphonomic loss) replicates",2.35,0.00403667844884996,0.0093692353207337,0.013611876285784
"23","baseline (taphonomic loss) replicates",2.45,0.00306837828492393,0.00945282434644137,0.0166476447395725
"24","baseline (taphonomic loss) replicates",2.55,0.00945029482341817,0.0166493416493416,0.0230378805820899
"25","baseline (taphonomic loss) replicates",2.65,0.0020746887966805,0.00733111927642736,0.0137715436493069
"26","baseline (taphonomic loss) replicates",2.75,0.00523168103448276,0.0125525210084034,0.0188679245283019
"27","baseline (taphonomic loss) replicates",2.85,0.00516614131862359,0.0135146258621287,0.0231460970464135
"28","baseline (taphonomic loss) replicates",2.95,0.00518573089832703,0.0104388228320374,0.0202893114360541
"29","baseline (taphonomic loss) replicates",3.05,0.00415758990318119,0.00938840266397015,0.014633270147976
"30","baseline (taphonomic loss) replicates",3.15,0.00517212071550612,0.0114139296529234,0.020671106557377
"31","baseline (taphonomic loss) replicates",3.25,0.00419595665961945,0.0093692353207337,0.0187130446058091
"32","baseline (taphonomic loss) replicates",3.35,0.00207879495159059,0.00827323049545272,0.0159159482758621
"33","baseline (taphonomic loss) replicates",3.45,0.00405018153526971,0.0115607705406556,0.019854380333516
"34","baseline (taphonomic loss) replicates",3.55,0.0041996998322592,0.0115354720180893,0.0210946170921199
"35","baseline (taphonomic loss) replicates",3.65,0.00306470435684647,0.0105263624437117,0.020850622406639
"36","baseline (taphonomic loss) replicates",3.75,0.00406402647197857,0.0104384588563459,0.0190825590278395
"37","baseline (taphonomic loss) replicates",3.85,0.00209343994806699,0.00835076708507671,0.0145341128254581
"38","baseline (taphonomic loss) replicates",3.95,0.00208333333333333,0.00826502732240437,0.0137443987926656
"39","baseline (taphonomic loss) replicates",4.05,0.00210224256900212,0.0095078500250914,0.013720079787234
"40","baseline (taphonomic loss) replicates",4.15,0.00304677402897762,0.00734798495813821,0.0115564113585922
"41","baseline (taphonomic loss) replicates",4.25,0.00208333333333333,0.00840336134453781,0.0147646483600708
"42","baseline (taphonomic loss) replicates",4.35,0.00309343102753996,0.00835076708507671,0.019005440552017
"43","baseline (taphonomic loss) replicates",4.45,0.00209852809048148,0.00839566209442257,0.0147753699788583
"44","baseline (taphonomic loss) replicates",4.55,0.00410637185455036,0.00831604426002766,0.0157432912547262
"45","baseline (taphonomic loss) replicates",4.65,0.00208937525113996,0.0084124302281352,0.0178606276371308
"46","baseline (taphonomic loss) replicates",4.75,0.00208501874613986,0.00638401912489134,0.0166530269443585
"47","baseline (taphonomic loss) replicates",4.85,0,0.00622406639004149,0.0139786330577766
"48","baseline (taphonomic loss) replicates",4.95,0.000985477178423237,0.00725988042549887,0.0188419069775517
"49","baseline (taphonomic loss) replicates",5.05,0.000977366255144033,0.00733409096915717,0.0199150674273859
"50","baseline (taphonomic loss) replicates",5.15,0.00627396396869583,0.0135375614159968,0.0209873294432118
"51","baseline (taphonomic loss) replicates",5.25,0,0.00415802213001383,0.00945661459604588
"52","baseline (taphonomic loss) replicates",5.35,0.00305536144110568,0.00630263227583285,0.0136917974737065
"53","baseline (taphonomic loss) replicates",5.45,0.00310863553236094,0.00938840266397015,0.0177071022506707
"54","baseline (taphonomic loss) replicates",5.55,0.00292008196721312,0.00836834733893557,0.0135993240950964
"55","baseline (taphonomic loss) replicates",5.65,0.00208501874613986,0.0103415381193159,0.0168666946793424
"56","baseline (taphonomic loss) replicates",5.75,0.000985477178423237,0.0094636524822695,0.0165734961245627
"57","baseline (taphonomic loss) replicates",5.85,0.00417003749227972,0.00835076708507671,0.0190594362745098
"58","baseline (taphonomic loss) replicates",5.95,0.00206334565965714,0.00738213621405065,0.0136436449579832
"59","baseline (taphonomic loss) replicates",6.05,0.00210273863545896,0.00826460393080956,0.01886455170974
"60","baseline (taphonomic loss) replicates",6.15,0.00310155083081805,0.00832467082467082,0.0149472728258512
"61","baseline (taphonomic loss) replicates",6.25,0.0041534752115665,0.00855662932864778,0.0198979944674965
"62","baseline (taphonomic loss) replicates",6.35,0.0020746887966805,0.0105263624437117,0.0188119103773585
"63","baseline (taphonomic loss) replicates",6.45,0.00304735024229302,0.00840336134453781,0.0146802478902954
"64","baseline (taphonomic loss) replicates",6.55,0.000997899159663866,0.00625668728307106,0.0137569509833532
"65","baseline (taphonomic loss) replicates",6.65,0.000987525987525988,0.00727978329947388,0.0127877681830321
"66","baseline (taphonomic loss) replicates",6.75,0,0.00623703319502075,0.0114626556016597
"67","baseline (taphonomic loss) replicates",6.85,0.0009958071278826,0.00627659015704606,0.0115723928317676
"68","baseline (taphonomic loss) replicates",6.95,0,0.0052140793275545,0.0104975995419309
