"","sample","median.bin.age","lowerCI","median","upperCI"
"1","baseline (no loss) replicates",0.25,0.00442388644150759,0.0129457219998138,0.0195356618477524
"2","baseline (no loss) replicates",0.35,0.00976323319027182,0.015070124862114,0.0254225290336415
"3","baseline (no loss) replicates",0.45,0.00861980073852156,0.0130595424186443,0.0230429280779076
"4","baseline (no loss) replicates",0.55,0.00544139809877116,0.0173364262168838,0.0234696895879733
"5","baseline (no loss) replicates",0.65,0.0131358006912442,0.0214823019059486,0.0303582497464217
"6","baseline (no loss) replicates",0.75,0.0116851317381994,0.0196294358291314,0.0285270896504377
"7","baseline (no loss) replicates",0.85,0.00860215053763441,0.0163710907704043,0.0317532756045452
"8","baseline (no loss) replicates",0.95,0.00330191984304933,0.0120431494062626,0.019640750325877
"9","baseline (no loss) replicates",1.05,0.00763896939485277,0.0131750209701212,0.022799089116349
"10","baseline (no loss) replicates",1.15,0.00207877461706783,0.0132604618450358,0.0252180225581953
"11","baseline (no loss) replicates",1.25,0.00753768547953476,0.0142071581851625,0.0211490784457044
"12","baseline (no loss) replicates",1.35,0.0044428201734458,0.0131054973459937,0.0251744851258581
"13","baseline (no loss) replicates",1.45,0.00750993454885461,0.0134228859705317,0.0220264317180617
"14","baseline (no loss) replicates",1.55,0.00214351030686236,0.0076550741931138,0.0164862374755269
"15","baseline (no loss) replicates",1.65,0.0022013860578883,0.00979776350226029,0.0152452512907963
"16","baseline (no loss) replicates",1.75,0.00101931330472103,0.00999091286225084,0.0241695375199677
"17","baseline (no loss) replicates",1.85,0.00421432757936133,0.0129457219998138,0.0183863985476889
"18","baseline (no loss) replicates",1.95,0.00326438601321586,0.0120283470599502,0.0199486561803927
"19","baseline (no loss) replicates",2.05,0.00438363149210869,0.0107411509529743,0.0175715467965126
"20","baseline (no loss) replicates",2.15,0.00318288649833714,0.00980766204222564,0.0194935993103384
"21","baseline (no loss) replicates",2.25,0.00643053092058707,0.0151026392961877,0.0186027366489194
"22","baseline (no loss) replicates",2.35,0.00103260869565217,0.00663023092251788,0.0108785048495963
"23","baseline (no loss) replicates",2.45,0.00328136063252301,0.00979776350226029,0.0163191699604743
"24","baseline (no loss) replicates",2.55,0.00663582966226138,0.0132460658989342,0.0254842561902905
"25","baseline (no loss) replicates",2.65,0.00104166666666667,0.00643779788630241,0.0140720569752828
"26","baseline (no loss) replicates",2.75,0.00434139784946237,0.00888959127634776,0.018889631843927
"27","baseline (no loss) replicates",2.85,0.00534379671150972,0.0111359126984127,0.0218392448512586
"28","baseline (no loss) replicates",2.95,0.00446337817638266,0.00995476445133499,0.0204596428076976
"29","baseline (no loss) replicates",3.05,0.00320092790863669,0.0111733098964315,0.0217789304154232
"30","baseline (no loss) replicates",3.15,0.00204301075268817,0.00892874937717987,0.0175661997898572
"31","baseline (no loss) replicates",3.25,0.0044428201734458,0.00878165395849198,0.0152822580645161
"32","baseline (no loss) replicates",3.35,0.0031950142746403,0.00867683041596085,0.0154185022026432
"33","baseline (no loss) replicates",3.45,0.00104625550660793,0.00774919361183227,0.0220304797140892
"34","baseline (no loss) replicates",3.55,0.00203862660944206,0.00873379099923722,0.018476388790852
"35","baseline (no loss) replicates",3.65,0.00437511970886803,0.00759054895302773,0.0175661997898572
"36","baseline (no loss) replicates",3.75,0.00443331104468219,0.01076437490151,0.0185635811126695
"37","baseline (no loss) replicates",3.85,0.00217286494866802,0.00762341248456003,0.0164541330645161
"38","baseline (no loss) replicates",3.95,0.002165996750594,0.00858373051506988,0.0132584324429713
"39","baseline (no loss) replicates",4.05,0.00102150537634409,0.00662280701754386,0.0141050102631088
"40","baseline (no loss) replicates",4.15,0.00215495018463039,0.00764588394580425,0.0176377613334291
"41","baseline (no loss) replicates",4.25,0.00104166666666667,0.00645161290322581,0.0143224637681159
"42","baseline (no loss) replicates",4.35,0.00217069892473118,0.0066447219960166,0.014453125
"43","baseline (no loss) replicates",4.45,0,0.00859292076237944,0.0167062582722585
"44","baseline (no loss) replicates",4.55,0.00433683913319687,0.00979776350226029,0.0155269135462555
"45","baseline (no loss) replicates",4.65,0.00531600443029212,0.0107181259247686,0.0232320890331556
"46","baseline (no loss) replicates",4.75,0.00214570237848541,0.00659343844191978,0.0121729381945798
"47","baseline (no loss) replicates",4.85,0.00320822351832999,0.00654314527637713,0.0175470430107527
"48","baseline (no loss) replicates",4.95,0.00106502242152466,0.00888959127634776,0.0171867645022844
"49","baseline (no loss) replicates",5.05,0.00215921813771226,0.00766430396836877,0.0153801335796504
"50","baseline (no loss) replicates",5.15,0.00652586329401734,0.0151033423331161,0.022375744047619
"51","baseline (no loss) replicates",5.25,0,0.00440528634361234,0.00875268817204301
"52","baseline (no loss) replicates",5.35,0,0.0066527023837621,0.0163457194488367
"53","baseline (no loss) replicates",5.45,0.00438092633114515,0.0109318996415771,0.0167062582722585
"54","baseline (no loss) replicates",5.55,0.00316765886750658,0.00881211180124224,0.0153863803230543
"55","baseline (no loss) replicates",5.65,0.00434090501749851,0.0087719298245614,0.01931330472103
"56","baseline (no loss) replicates",5.75,0.00317253589669908,0.00972968667269549,0.0199396848601395
"57","baseline (no loss) replicates",5.85,0.00204301075268817,0.0088403078966905,0.0164874150151888
"58","baseline (no loss) replicates",5.95,0.0043002298574144,0.00668154761904762,0.0131578947368421
"59","baseline (no loss) replicates",6.05,0.00102591792656587,0.00875311243056886,0.0128769772742972
"60","baseline (no loss) replicates",6.15,0.00220922224827101,0.00764928955453149,0.0144493450554638
"61","baseline (no loss) replicates",6.25,0.00317692003994519,0.0087719298245614,0.0197679901460767
"62","baseline (no loss) replicates",6.35,0.00317692003994519,0.00981914985136259,0.0166656832664621
"63","baseline (no loss) replicates",6.45,0.00433655221745351,0.00879125125589304,0.0151396680691912
"64","baseline (no loss) replicates",6.55,0.00434139784946237,0.00664550441071131,0.0143365691875666
"65","baseline (no loss) replicates",6.65,0.00101713062098501,0.00652977120932215,0.0131115591397849
"66","baseline (no loss) replicates",6.75,0.00217391304347826,0.00863007959782153,0.0150572793576942
"67","baseline (no loss) replicates",6.85,0.00216827610872675,0.00553610761485211,0.0152711090567782
"68","baseline (no loss) replicates",6.95,0,0.0076550741931138,0.0121256038647343
"69","baseline (no loss) replicates",7.05,0.00203862660944206,0.00986064901875693,0.0206421405779242
"70","baseline (no loss) replicates",7.15,0.00101713062098501,0.00666719345726082,0.0191240952115813
"71","baseline (no loss) replicates",7.25,0.00318742310834797,0.00893864791714523,0.0166399902104748
"72","baseline (no loss) replicates",7.35,0.00322160505650259,0.00888959127634776,0.0175831653225806
"73","baseline (no loss) replicates",7.45,0.00434139784946237,0.00869565217391304,0.016479797979798
"74","baseline (no loss) replicates",7.55,0.00203426124197002,0.00881057268722467,0.0197488345542765
"75","baseline (no loss) replicates",7.65,0.0053046107470752,0.0120569940691451,0.0212024071743235
"76","baseline (no loss) replicates",7.75,0.00433683913319687,0.00763440860215054,0.0143557901422275
"77","baseline (no loss) replicates",7.85,0.00102150537634409,0.00867744288369685,0.0175613599785408
"78","baseline (no loss) replicates",7.95,0.00218755985443402,0.00891862869869551,0.0154223925936641
"79","baseline (no loss) replicates",8.05,0.00214811481840417,0.00647975368538906,0.0175955276766903
"80","baseline (no loss) replicates",8.15,0.00316962019474826,0.0066079295154185,0.0168059292476333
"81","baseline (no loss) replicates",8.25,0.00319758140410314,0.00764588394580425,0.0167062582722585
"82","baseline (no loss) replicates",8.35,0.00217391304347826,0.00857450073981491,0.0167430091561495
"83","baseline (no loss) replicates",8.45,0.00217045250874926,0.00671144298526585,0.0154679050308948
"84","baseline (no loss) replicates",8.55,0.00214811481840417,0.00648649406748759,0.0111869895099295
"85","baseline (no loss) replicates",8.65,0.00220264317180617,0.00648649406748759,0.0120044612604473
"86","baseline (no loss) replicates",8.75,0,0.00432432937832506,0.0108030882627356
"87","baseline (no loss) replicates",8.85,0.00317993095726815,0.00643779788630241,0.0110342832344857
"88","baseline (no loss) replicates",8.95,0,0.0021505376344086,0.0077719298245614
"89","baseline (no loss) replicates",9.05,0,0.00542152729197784,0.00998505392310097
"90","baseline (no loss) replicates",9.15,0.00102813852813853,0.00447429532351057,0.0122312775330396
"91","baseline (no loss) replicates",9.25,0.00102813852813853,0.0064728609999069,0.00999765037593985
"92","baseline (no loss) replicates",9.35,0.0022214100867229,0.00648649406748759,0.0110546585003712
"93","baseline (no loss) replicates",9.45,0.00101931330472103,0.0065507180044625,0.0143365691875666
"94","baseline (no loss) replicates",9.55,0.00103260869565217,0.00545102697731453,0.0144848481855356
"95","baseline (no loss) replicates",9.65,0,0.00440528634361234,0.0129062394494522
"96","baseline (no loss) replicates",9.75,0,0.00433841520798043,0.0122161037689672
"97","baseline (no loss) replicates",9.85,0,0.00219298245614035,0.0120494593512215
"98","baseline (no loss) replicates",9.95,0,0.00432445067788686,0.013288778104925
"99","baseline (no loss) replicates",10.05,0,0.00550449793338196,0.0121729381945798
"100","baseline (no loss) replicates",10.15,0,0.00221739301447451,0.00648684468878853
"101","baseline (no loss) replicates",10.25,0.00102150537634409,0.00646563736692492,0.011193215051667
"102","baseline (no loss) replicates",10.35,0.00103260869565217,0.00437655621528443,0.00896860986547085
