"","sample","median.bin.age","lowerCI","median","upperCI"
"1","baseline (taphonomic loss) replicates",0.25,0.00737791932059448,0.0138211271932202,0.0243143459915612
"2","baseline (taphonomic loss) replicates",0.35,0.0149850972120323,0.0201417004048583,0.0362626972374961
"3","baseline (taphonomic loss) replicates",0.45,0.00738950432566288,0.0170395775491317,0.025679497034922
"4","baseline (taphonomic loss) replicates",0.55,0.0137473460721868,0.0255868192419427,0.0357417619274522
"5","baseline (taphonomic loss) replicates",0.65,0.0190923713444697,0.0269289391996134,0.0346200602218108
"6","baseline (taphonomic loss) replicates",0.75,0.0105425300261215,0.020441038763571,0.0319309206967435
"7","baseline (taphonomic loss) replicates",0.85,0.0118078122817636,0.0201622900935422,0.0313673223154409
"8","baseline (taphonomic loss) replicates",0.95,0.00427671315616077,0.0150540419293223,0.0243845574995297
"9","baseline (taphonomic loss) replicates",1.05,0.00740077939306838,0.0160160548678304,0.028603101013793
"10","baseline (taphonomic loss) replicates",1.15,0.0117945965538393,0.0193390695827986,0.0311285317654744
"11","baseline (taphonomic loss) replicates",1.25,0.0117568110268933,0.0171123190395139,0.0291935543817103
"12","baseline (taphonomic loss) replicates",1.35,0.00736086236382489,0.0170041290579062,0.0249700702414022
"13","baseline (taphonomic loss) replicates",1.45,0.00850826878415146,0.0180943738656987,0.0251887189091569
"14","baseline (taphonomic loss) replicates",1.55,0.00532134352328737,0.0130734467567978,0.0202430011198208
"15","baseline (taphonomic loss) replicates",1.65,0.00758733624454148,0.0138339382940109,0.0232843532478701
"16","baseline (taphonomic loss) replicates",1.75,0.00846435002284393,0.0119359767599789,0.0217002281589258
"17","baseline (taphonomic loss) replicates",1.85,0.00641506973424116,0.0148149641215835,0.0229096341041489
"18","baseline (taphonomic loss) replicates",1.95,0.00424945111538774,0.0127796831618488,0.0235326473237932
"19","baseline (taphonomic loss) replicates",2.05,0.00527561602391193,0.0105374194981124,0.0180997876857749
"20","baseline (taphonomic loss) replicates",2.15,0.00522620226402976,0.0106497359682073,0.0190699021020455
"21","baseline (taphonomic loss) replicates",2.25,0.00747283490482945,0.0129331970640156,0.0203961456102784
"22","baseline (taphonomic loss) replicates",2.35,0.00413307264371523,0.00865902286113233,0.0139117974046803
"23","baseline (taphonomic loss) replicates",2.45,0.00311886909081136,0.00960506668980224,0.0171703056768559
"24","baseline (taphonomic loss) replicates",2.55,0.00845693801992448,0.0161659107207719,0.0233545647558386
"25","baseline (taphonomic loss) replicates",2.65,0.00211842914405498,0.00751449107349872,0.0141429660442704
"26","baseline (taphonomic loss) replicates",2.75,0.00416907265462741,0.0128342392796354,0.0173599608492697
"27","baseline (taphonomic loss) replicates",2.85,0.00527414768843809,0.0129885342916985,0.0238615430649972
"28","baseline (taphonomic loss) replicates",2.95,0.00530526140864315,0.0106497359682073,0.0198329261489333
"29","baseline (taphonomic loss) replicates",3.05,0.00423217501142197,0.00961820045391317,0.0149740798696901
"30","baseline (taphonomic loss) replicates",3.15,0.00530516324284666,0.0117170449585334,0.0210759493670886
"31","baseline (taphonomic loss) replicates",3.25,0.00429396449048555,0.00962997012181108,0.0181264741433558
"32","baseline (taphonomic loss) replicates",3.35,0.00211182326651859,0.00846569378376199,0.0152711090567782
"33","baseline (taphonomic loss) replicates",3.45,0.00411626568897691,0.0118357218535661,0.0191082802547771
"34","baseline (taphonomic loss) replicates",3.55,0.00428113521618907,0.0118223974031996,0.0205293987621574
"35","baseline (taphonomic loss) replicates",3.65,0.00314118214014557,0.01078749906904,0.0205244007938527
"36","baseline (taphonomic loss) replicates",3.75,0.00417176591661336,0.0106157112526539,0.0196076231087172
"37","baseline (taphonomic loss) replicates",3.85,0.00215403699006258,0.00849256900212314,0.0140100022104332
"38","baseline (taphonomic loss) replicates",3.95,0.00212706719603787,0.0084299355984899,0.0141838168716517
"39","baseline (taphonomic loss) replicates",4.05,0.00214705447898299,0.00862068965517241,0.0139086721163573
"40","baseline (taphonomic loss) replicates",4.15,0.00310948256717744,0.00752337404040967,0.0118848346318416
"41","baseline (taphonomic loss) replicates",4.25,0.00211182326651859,0.00858384910109048,0.0140554727873737
"42","baseline (taphonomic loss) replicates",4.35,0.00319125708445601,0.00849256900212314,0.0195389132528543
"43","baseline (taphonomic loss) replicates",4.45,0.0021455017683466,0.00861309672813581,0.0150970833448744
"44","baseline (taphonomic loss) replicates",4.55,0.00421474572507217,0.00848364895866133,0.0150711738010094
"45","baseline (taphonomic loss) replicates",4.65,0.00214790389869305,0.00850160364999774,0.0172041323153337
"46","baseline (taphonomic loss) replicates",4.75,0.00212314225053079,0.00651595619239876,0.016089609800363
"47","baseline (taphonomic loss) replicates",4.85,0,0.00635596073309005,0.0142568638177068
"48","baseline (taphonomic loss) replicates",4.95,0.00100210970464135,0.00646551724137931,0.0191673063025455
"49","baseline (taphonomic loss) replicates",5.05,0.00100210970464135,0.00752139367136725,0.0202944087085601
"50","baseline (taphonomic loss) replicates",5.15,0.00642881760948486,0.0127388535031847,0.0203765854060287
"51","baseline (taphonomic loss) replicates",5.25,0,0.004232846891881,0.00969988077769626
"52","baseline (taphonomic loss) replicates",5.35,0.00311886909081136,0.00648710060499518,0.0140100022104332
"53","baseline (taphonomic loss) replicates",5.45,0.00315089442526127,0.00959575708974265,0.0181857135712889
"54","baseline (taphonomic loss) replicates",5.55,0.003,0.00859300007383888,0.0138152059985487
"55","baseline (taphonomic loss) replicates",5.65,0.00212314225053079,0.00965062921825518,0.0162297536598708
"56","baseline (taphonomic loss) replicates",5.75,0.00101063829787234,0.00965062921825518,0.0169171974522293
"57","baseline (taphonomic loss) replicates",5.85,0.00426728694320916,0.00847461431078673,0.0184819849690539
"58","baseline (taphonomic loss) replicates",5.95,0.00210737286253609,0.00657907392801493,0.0139591226047329
"59","baseline (taphonomic loss) replicates",6.05,0.00215176758545879,0.00752856021222131,0.0183164381065196
"60","baseline (taphonomic loss) replicates",6.15,0.00319621029200936,0.00849256900212314,0.0151947304918769
"61","baseline (taphonomic loss) replicates",6.25,0.00426830379516151,0.00877209857068657,0.0191803234537644
"62","baseline (taphonomic loss) replicates",6.35,0.00212057487292519,0.0108003956257231,0.0190699021020455
"63","baseline (taphonomic loss) replicates",6.45,0.00313146551724138,0.00859300007383888,0.0139758719805428
"64","baseline (taphonomic loss) replicates",6.55,0.00101495726495727,0.00636942675159236,0.0120113134761941
"65","baseline (taphonomic loss) replicates",6.65,0.00101713062098501,0.00655021834061135,0.0109884777499738
"66","baseline (taphonomic loss) replicates",6.75,0,0.00635604632372744,0.00975827043407503
"67","baseline (taphonomic loss) replicates",6.85,0.00101495726495727,0.00637620273749831,0.0106157112526539
"68","baseline (taphonomic loss) replicates",6.95,0,0.00534796307556243,0.0108296355994546
"69","baseline (taphonomic loss) replicates",7.05,0,0.00849256900212314,0.0172072496283781
"70","baseline (taphonomic loss) replicates",7.15,0,0.0043110656880052,0.0097113378159054
"71","baseline (taphonomic loss) replicates",7.25,0.00312310634114811,0.00749280202694921,0.0119191756222116
"72","baseline (taphonomic loss) replicates",7.35,0.00425057595880201,0.00868646665472003,0.0194608886221446
"73","baseline (taphonomic loss) replicates",7.45,0,0.00534607854428193,0.0152606619322497
"74","baseline (taphonomic loss) replicates",7.55,0.00100422832980973,0.00959575708974265,0.015143931814144
"75","baseline (taphonomic loss) replicates",7.65,0.00101495726495727,0.0108945389639982,0.0206813795321906
"76","baseline (taphonomic loss) replicates",7.75,0.00313265366176078,0.00853867463731137,0.0149298556800774
"77","baseline (taphonomic loss) replicates",7.85,0.00104625550660793,0.00845681081685104,0.0152162834407114
"78","baseline (taphonomic loss) replicates",7.95,0,0.00642424798239178,0.0109170305676856
"79","baseline (taphonomic loss) replicates",8.05,0.001,0.00437158992097694,0.00976437402249199
"80","baseline (taphonomic loss) replicates",8.15,0,0.00636942675159236,0.01081709415296
"81","baseline (taphonomic loss) replicates",8.25,0.00210949148770446,0.00657907392801493,0.0118848346318416
