ADSID,IBRA_REGION,LONGITUDE,LATITUDE,SITE,SITE_TYPE,LAB_CODE,AGE,ERROR,C13_AGE,C13_ERROR,MATERIAL,MATERIAL_TOP_LEVEL,CONTEXT,DEPTH_FROM_SURFACE_CM,METHOD,TECHNIQUE,Data pertinent for time-series analysis or calibration,Open or Closed Site,Directly Related to occupation? Yes/Unknown,SOURCE,NOTES,RECORD_SOURCE,DATE_ISSUES,AGE_NORM,ADDITIONAL_DATA_ISSUES,
10001,Naracoorte Coastal Plain,140.29,-37.65,Wyrie Swamp,Aboriginal artefact,ANU-1490,9430,150,,,Wood,Wood/Plant Material,,,Radiocarbon,,Terrestrial,Open,Y,"Luebbers, 1978 cit. Bird & Frankel, 1991","A study (Bird & Frankel, 1991) using radiometric dates of southwest Victoria as a proxy for occupation/activity. The paper concludes that late Holocene intensification, at least from a social perspective perspective, was not the case. However, the paper does show increasing numbers of dates (n=80) in the late Holocene. Interesting features of the study include an apparent hiatus between 6-7ka and the appearance of earth mounds only in the last 2.5ka. This sample was taken from a boomerang (in an unexplained context in this paper).",c14,,9430,,
10002,NSW North Coast,152.94,-29.7,Grafton Boomerang,Aboriginal artefact,GaK-1299,140,60,,,Wood,Wood/Plant Material,,,Radiocarbon,,Terrestrial,Open,Y,"McBrdye, 1974",Sample taken from a boomerang found in the gravel beds of Clarence River.,c14,,140,Information within this entry has been inferred by authors - see Notes,
10003,Sydney Basin,151.56,-33.03,Stockyard Creek Artefact Scatter,Artefact Scatter,Wk-26008,433,35,-26.1,0.2,Wood,Wood/Plant Material,,,Radiocarbon,,Terrestrial,Open,N,AN Williams unpub,"A salvage excavation undertaken in advance of an electrical substation on the banks of Stockyard Creek, Rathmines, NSW. A low density of artefacts, primarily silcrete were found along a lower slope/terrace adjacent the creek. This sample came from a piece of wood in the lower parts of the fabric contrast soil within which the artefacts (n=41) were found. It was considered to represent a basal date for use of the creek.",c14,,433,,
10004,Murray Darling Depression,141.26,-33.64,APC01 (Bells Grove site,Artefact scatter/midden,Beta-166349,11730,430,,,Freshwater mussel shell,Freshwater Shell,,,Radiocarbon,,Terrestrial,Open,Y,Cupper 2002,"AMS date from collection of one shell from this site, a surface artefact scatter/midden",c14,,11730,,
10005,Murray Darling Depression,141.64,-33.82,AWA 01 (Warrananga Site),Artefact scatter/midden,OZF104,7910,40,,,Freshwater mussel shell,Freshwater Shell,,,Radiocarbon,,Terrestrial,Open,U,"Cupper 2002, 2003","AMS date from collection of one shell from this site, a surface artefact scatter/midden",c14,,7910,,
10006,Arnhem Plateau,133.3,-12.8,Gunbilngmurrung site (BW 4),Beeswax figures in a rockshelter,CAMS-2300,4040,80,,,Beeswax,Other,,N/A,Radiocarbon,,Terrestrial,Closed,Y,"Nelson, 1995 cit. Watchman & Jones, 2002",Sample taken from a beeswax figure of a freshwater turtle by Nelson et al. (1995). This figure overlies other phases of rock engraving indicating that there is early activity on the site.,c14,,4040,,
10007,Arnhem Plateau,133.3,-12.8,Gunbilngmurrung site (BW 4),Beeswax figures in a rockshelter,CAMS-2301,4460,80,,,Beeswax,Other,,N/A,Radiocarbon,,Terrestrial,Closed,Y,"Watchman & Jones, 2002",Sample a replicate of Nelson et al's (1995) original analysis of BW 5 verifying the age of the sample.,c14,,4460,,
10008,Arnhem Plateau,133.3,-12.8,Gunbilngmurrung site (BW 5),Beeswax figures in a rockshelter,OZD-958,3820,70,,,Beeswax,Other,,N/A,Radiocarbon,,Terrestrial,Closed,Y,"Nelson, 1995 cit. Watchman & Jones, 2002",Sample taken from a beeswax figure of a freshwater turlte by Nelson et al. (1995).,c14,,3820,,
10009,Brigalow Belt South,149.84,-29.46,Greenbah Station burials,Burial,GX-2669,2285,125,,,Charcoal,Charcoal,,,Radiocarbon,,Terrestrial,Open,Y,"McBryde, 1973","This sample comes from deposits associated with four - five skeletons identified and recovered following their accidental exposure in the excavation of a 'soil pit' just north of the Greenbah Station homestead near Moree. Most of the bones were disturbed, but one body was recovered wrapped in a bundle in a flexed position on its side with head to the north and facing east. All of the bones were found at about three feet depth. A further date of GX-2670 was ran but returned no date. The reference for this date is situated in a long correspondence between NSW National Parks and Wildlife Service, McBryde and de Bavay.",c14,,2285,Information within this entry has been inferred by authors - see Notes,
10010,Carnarvon,113.56,-25.94,Denham Burial 1,Burial,Wk-6349,430,50,,,Melo sp. Shell,Marine Shell,Surface,,Radiocarbon,,Marine,Open,Y,"Bowdler cit. Przywolnik, 2005",,c14,,430,,
10011,Darling Riverine Plains,150.36,-28.61,Boggabilla,Burial,ANU-7670A,Modern (100 +/- 2%),,,,Human bone apatite,Bone,,,Radiocarbon,,Unusuable,Open,Y,"Pardoe, 1993",Part of a wider study reviewing ages of skeletal remains along the Murray-Darling River.,c14,"Date not associated with human activity, or is problematic for time-series analysis - see Notes",,Information within this entry has been inferred by authors - see Notes,
10012,King,143.9,-40.1,Cliff Cave,Burial,ANU-7039,14270,640,,,Charcoal,Charcoal,,,Radiocarbon,,Terrestrial,Closed,Y,"Sim & Thorne, 1990; Sim, 1994",A burial recovered from a sea cave in the southwest of Tasmania.,c14,,14270,Information within this entry has been inferred by authors - see Notes,
10013,King,144.72,-40.87,Mt Cameron West,Burial,ANU-1136,4260,360,,,Charcoal,Charcoal,,,Radiocarbon,,Terrestrial,Open,Y,"Pardoe, 1993",Part of a wider study reviewing ages of skeletal remains along the Murray-Darling River.,c14,,4260,Information within this entry has been inferred by authors - see Notes,
10014,Murray Darling Depression,150.36,-28.61,Boggabilla,Burial,ANU-7670B,190,70,,,Human bone collagen,Bone,,,Radiocarbon,,Terrestrial,Open,Y,"Pardoe, 1993","Part of a wider study reviewing ages of skeletal remains along the Murray-Darling River. No spatial information, Bogabilla appears to be located on the NSW/QLD border, yet the date is referenced as relating to the Willandra/Lachlan region in the publication.",c14,,190,Information within this entry has been inferred by authors - see Notes,
10015,Murray Darling Depression,142.23,-32.48,Cawndilla Beach,Burial,ANU-7671A,Modern (107.20 +/- 2.7%),,,,Human bone apatite,Bone,,,Radiocarbon,,Unusuable,Open,Y,"Pardoe, 1993",Part of a wider study reviewing ages of skeletal remains along the Murray-Darling River.,c14,"Date not associated with human activity, or is problematic for time-series analysis - see Notes",,Information within this entry has been inferred by authors - see Notes,
