"","calBP","PrDens"
"1",12000,0
"2",11999,0
"3",11998,0
"4",11997,0
"5",11996,0
"6",11995,0
"7",11994,0
"8",11993,0
"9",11992,0
"10",11991,0
"11",11990,0
"12",11989,0
"13",11988,0
"14",11987,0
"15",11986,0
"16",11985,0
"17",11984,0
"18",11983,0
"19",11982,0
"20",11981,0
"21",11980,0
"22",11979,0
"23",11978,0
"24",11977,0
"25",11976,0
"26",11975,0
"27",11974,0
"28",11973,0
"29",11972,0
"30",11971,0
"31",11970,0
"32",11969,0
"33",11968,0
"34",11967,0
"35",11966,0
"36",11965,0
"37",11964,0
"38",11963,0
"39",11962,0
"40",11961,0
"41",11960,0
"42",11959,0
"43",11958,0
"44",11957,0
"45",11956,0
"46",11955,0
"47",11954,0
"48",11953,0
"49",11952,0
"50",11951,0
"51",11950,0
"52",11949,0
"53",11948,0
"54",11947,0
"55",11946,0
"56",11945,0
"57",11944,0
"58",11943,0
"59",11942,0
"60",11941,0
"61",11940,0
"62",11939,0
"63",11938,0
"64",11937,0
"65",11936,0
"66",11935,0
"67",11934,0
"68",11933,0
"69",11932,0
"70",11931,0
"71",11930,0
"72",11929,0
"73",11928,0
"74",11927,0
"75",11926,0
"76",11925,0
"77",11924,0
"78",11923,0
"79",11922,0
"80",11921,0
"81",11920,0
"82",11919,0
"83",11918,0
"84",11917,0
"85",11916,0
"86",11915,0
"87",11914,0
"88",11913,0
"89",11912,0
"90",11911,0
"91",11910,0
"92",11909,0
"93",11908,0
"94",11907,0
"95",11906,0
"96",11905,0
"97",11904,0
"98",11903,0
"99",11902,0
"100",11901,0
"101",11900,0
"102",11899,0
"103",11898,0
"104",11897,0
"105",11896,0
"106",11895,0
"107",11894,0
"108",11893,0
"109",11892,0
"110",11891,0
"111",11890,0
"112",11889,0
"113",11888,0
"114",11887,0
"115",11886,0
"116",11885,0
"117",11884,0
"118",11883,0
"119",11882,0
"120",11881,0
"121",11880,0
"122",11879,0
"123",11878,0
"124",11877,0
"125",11876,0
"126",11875,0
"127",11874,0
"128",11873,0
"129",11872,0
"130",11871,0
"131",11870,0
"132",11869,0
"133",11868,0
"134",11867,0
"135",11866,0
"136",11865,0
"137",11864,0
"138",11863,0
"139",11862,0
"140",11861,0
"141",11860,0
"142",11859,0
"143",11858,0
"144",11857,0
"145",11856,0
"146",11855,0
"147",11854,0
"148",11853,0
"149",11852,0
"150",11851,0
"151",11850,0
"152",11849,0
"153",11848,0
"154",11847,0
"155",11846,0
"156",11845,0
"157",11844,0
"158",11843,0
"159",11842,0
"160",11841,0
"161",11840,0
"162",11839,0
"163",11838,0
"164",11837,0
"165",11836,0
"166",11835,0
"167",11834,0
"168",11833,0
"169",11832,0
"170",11831,0
"171",11830,0
"172",11829,0
"173",11828,0
"174",11827,0
"175",11826,0
"176",11825,0
"177",11824,0
"178",11823,0
"179",11822,0
"180",11821,0
"181",11820,0
"182",11819,0
"183",11818,0
"184",11817,0
"185",11816,0
"186",11815,0
"187",11814,0
"188",11813,0
"189",11812,0
"190",11811,0
"191",11810,0
"192",11809,0
"193",11808,0
"194",11807,0
"195",11806,0
"196",11805,0
"197",11804,0
"198",11803,0
"199",11802,0
"200",11801,0
"201",11800,0
"202",11799,0
"203",11798,0
"204",11797,0
"205",11796,0
"206",11795,0
"207",11794,0
"208",11793,0
"209",11792,0
"210",11791,0
"211",11790,0
"212",11789,0
"213",11788,0
"214",11787,0
"215",11786,0
"216",11785,0
"217",11784,0
"218",11783,0
"219",11782,0
"220",11781,0
"221",11780,0
"222",11779,0
"223",11778,0
"224",11777,0
"225",11776,0
