"","sample","discrepancy","p-value"
"1","uniform.50p",1.44e-08,"NA"
"2","uniform.75p",2.88e-08,"NA"
"3","uniform.100p",4.22e-08,"NA"
"4","singleton.ancient.50p",2.67e-06,"0.05"
"5","singleton.ancient.75p",1.44e-05,"0.01"
"6","singleton.ancient.100p",0.000137,"0.01"
"7","singleton.recent.50p",7.05e-06,"0.01"
"8","singleton.recent.75p",3.53e-05,"0.01"
"9","singleton.recent.100p",0.000246,"0.01"
"10","singleton.random.50p",6.59e-08,"NA"
"11","singleton.random.75p",5.71e-08,"NA"
"12","singleton.random.100p",1.8e-07,"NA"
"13","bracketed.50p",3.86e-06,"0.01"
"14","bracketed.75p",1.47e-05,"0.01"
"15","bracketed.100p",5.38e-05,NA
