index,sampling_type,underlying_model,method,total_sims,sims_with_correct_ids,prop_correct
1,uniform.50p,linear,fd.binned,1000,159,0.159
2,uniform.50p,linear,fd.kde,1000,1000,1
3,uniform.50p,linear,spd,1000,1000,1
4,uniform.75p,linear,fd.binned,1000,206,0.206
5,uniform.75p,linear,fd.kde,1000,1000,1
6,uniform.75p,linear,spd,1000,997,0.997
7,uniform.100p,linear,fd.binned,1000,250,0.25
8,uniform.100p,linear,fd.kde,1000,1000,1
9,uniform.100p,linear,spd,1000,983,0.983
10,singleton.ancient.50p,linear,fd.binned,1000,0,0
11,singleton.ancient.50p,linear,fd.kde,1000,1000,1
12,singleton.ancient.50p,linear,spd,1000,999,0.999
13,singleton.ancient.75p,linear,fd.binned,1000,1,0.001
14,singleton.ancient.75p,linear,fd.kde,1000,968,0.968
15,singleton.ancient.75p,linear,spd,1000,969,0.969
16,singleton.ancient.100p,linear,fd.binned,1000,0,0
17,singleton.ancient.100p,linear,fd.kde,1000,1000,1
18,singleton.ancient.100p,linear,spd,1000,1000,1
19,singleton.random.50p,linear,fd.binned,1000,232,0.232
20,singleton.random.50p,linear,fd.kde,1000,1000,1
21,singleton.random.50p,linear,spd,1000,993,0.993
22,singleton.random.75p,linear,fd.binned,1000,218,0.218
23,singleton.random.75p,linear,fd.kde,1000,1000,1
24,singleton.random.75p,linear,spd,1000,983,0.983
25,singleton.random.100p,linear,fd.binned,1000,55,0.055
26,singleton.random.100p,linear,fd.kde,1000,997,0.997
27,singleton.random.100p,linear,spd,1000,996,0.996
28,singleton.recent.50p,linear,fd.binned,1000,0,0
29,singleton.recent.50p,linear,fd.kde,1000,1000,1
30,singleton.recent.50p,linear,spd,1000,0,0
31,singleton.recent.75p,linear,fd.binned,1000,0,0
32,singleton.recent.75p,linear,fd.kde,1000,1000,1
33,singleton.recent.75p,linear,spd,1000,NA,NA
34,singleton.recent.100p,linear,fd.binned,1000,0,0
35,singleton.recent.100p,linear,fd.kde,1000,1000,1
36,singleton.recent.100p,linear,spd,1000,1000,1
37,bracketed.50p,linear,fd.binned,1000,0,0
38,bracketed.50p,linear,fd.kde,1000,1000,1
39,bracketed.50p,linear,spd,1000,8,0.008
40,bracketed.75p,linear,fd.binned,1000,0,0
41,bracketed.75p,linear,fd.kde,1000,1000,1
42,bracketed.75p,linear,spd,1000,913,0.913
43,bracketed.100p,linear,fd.binned,1000,1000,1
44,bracketed.100p,linear,fd.kde,1000,1000,1
45,bracketed.100p,linear,spd,1000,1000,1
