"","calBP","PrDens"
"1",12000,2.43804726863028e-05
"2",11999,2.43938901200951e-05
"3",11998,2.44136928996051e-05
"4",11997,2.44394668086933e-05
"5",11996,2.44506731244152e-05
"6",11995,2.44893349199036e-05
"7",11994,2.45068091773564e-05
"8",11993,2.45250478034563e-05
"9",11992,2.45440248390139e-05
"10",11991,2.45637146518859e-05
"11",11990,2.46062596445678e-05
"12",11989,2.46062596445678e-05
"13",11988,2.46062596445678e-05
"14",11987,2.46062596445678e-05
"15",11986,2.46062596445678e-05
"16",11985,2.46062596445678e-05
"17",11984,2.45557548198213e-05
"18",11983,2.4528784962855e-05
"19",11982,2.45032523401154e-05
"20",11981,2.44792281778844e-05
"21",11980,2.4456784877026e-05
"22",11979,2.44630316712133e-05
"23",11978,2.44694117847679e-05
"24",11977,2.44759235020835e-05
"25",11976,2.4482565114377e-05
"26",11975,2.44893349199036e-05
"27",11974,2.45213401793889e-05
"28",11973,2.45557548198213e-05
"29",11972,2.46147851867326e-05
"30",11971,2.46544377800592e-05
"31",11970,2.469609391921e-05
"32",11969,2.47346932501923e-05
"33",11968,2.47746749288801e-05
"34",11967,2.48159488528811e-05
"35",11966,2.48584277700901e-05
"36",11965,2.49020273207456e-05
"37",11964,2.49034993866662e-05
"38",11963,2.49049936467832e-05
"39",11962,2.49065102583104e-05
"40",11961,2.49080493780072e-05
"41",11960,2.49096111621064e-05
"42",11959,2.4877248823171e-05
"43",11958,2.48455168643085e-05
"44",11957,2.48144503367947e-05
"45",11956,2.47840851789881e-05
"46",11955,2.47544582067437e-05
"47",11954,2.47642495351987e-05
"48",11953,2.47741256578322e-05
"49",11952,2.47840851789881e-05
"50",11951,2.55646857935749e-05
"51",11950,2.5587426440665e-05
"52",11949,2.56096496059074e-05
"53",11948,2.56312892116389e-05
"54",11947,2.56522833558055e-05
"55",11946,2.56727755575703e-05
"56",11945,2.56924891399648e-05
"57",11944,2.57119568068642e-05
"58",11943,2.57311708576469e-05
"59",11942,2.57501238526757e-05
"60",11941,2.57688086100398e-05
"61",11940,2.57869965252218e-05
"62",11939,2.58057857524157e-05
"63",11938,2.58251724282489e-05
"64",11937,2.58451525306151e-05
