"","x"
"1",12000
"2",11999
"3",11998
"4",11997
"5",11996
"6",11995
"7",11994
"8",11993
"9",11992
"10",11991
"11",11990
"12",11989
"13",11988
"14",11987
"15",11986
"16",11985
"17",11984
"18",11983
"19",11982
"20",11981
"21",11980
"22",11979
"23",11978
"24",11977
"25",11976
"26",11975
"27",11974
"28",11973
"29",11972
"30",11971
"31",11970
"32",11969
"33",11968
"34",11967
"35",11966
"36",11965
"37",11964
"38",11963
"39",11962
"40",11961
"41",11960
"42",11959
"43",11958
"44",11957
"45",11956
"46",11955
"47",11954
"48",11953
"49",11952
"50",11951
"51",11950
"52",11949
"53",11948
"54",11947
"55",11946
"56",11945
"57",11944
"58",11943
"59",11942
"60",11941
"61",11940
"62",11939
"63",11938
"64",11937
"65",11936
"66",11935
"67",11934
"68",11933
"69",11932
"70",11931
"71",11930
"72",11929
"73",11928
"74",11927
"75",11926
"76",11925
"77",11924
"78",11923
"79",11922
"80",11921
"81",11920
"82",11919
"83",11918
"84",11917
"85",11916
"86",11915
"87",11914
"88",11913
"89",11912
"90",11911
"91",11910
"92",11909
"93",11908
"94",11907
"95",11906
"96",11905
"97",11904
"98",11903
"99",11902
"100",11901
"101",11900
"102",11899
"103",11898
"104",11897
"105",11896
"106",11895
"107",11894
"108",11893
"109",11892
"110",11891
"111",11890
"112",11889
"113",11888
"114",11887
"115",11886
"116",11885
"117",11884
"118",11883
"119",11882
"120",11881
"121",11880
"122",11879
"123",11878
"124",11877
"125",11876
"126",11875
"127",11874
"128",11873
"129",11872
"130",11871
"131",11870
"132",11869
"133",11868
"134",11867
"135",11866
"136",11865
"137",11864
"138",11863
"139",11862
"140",11861
"141",11860
"142",11859
"143",11858
"144",11857
"145",11856
"146",11855
"147",11854
"148",11853
"149",11852
"150",11851
"151",11850
"152",11849
"153",11848
"154",11847
"155",11846
"156",11845
"157",11844
"158",11843
"159",11842
"160",11841
"161",11840
"162",11839
"163",11838
"164",11837
"165",11836
"166",11835
"167",11834
"168",11833
"169",11832
"170",11831
"171",11830
"172",11829
"173",11828
"174",11827
"175",11826
"176",11825
"177",11824
"178",11823
"179",11822
"180",11821
"181",11820
"182",11819
"183",11818
"184",11817
"185",11816
"186",11815
"187",11814
"188",11813
"189",11812
"190",11811
"191",11810
"192",11809
"193",11808
"194",11807
"195",11806
"196",11805
"197",11804
"198",11803
"199",11802
"200",11801
"201",11800
"202",11799
"203",11798
"204",11797
"205",11796
"206",11795
"207",11794
"208",11793
"209",11792
"210",11791
"211",11790
"212",11789
"213",11788
"214",11787
"215",11786
"216",11785
"217",11784
"218",11783
"219",11782
"220",11781
"221",11780
"222",11779
"223",11778
"224",11777
"225",11776
"226",11775
"227",11774
"228",11773
"229",11772
"230",11771
"231",11770
"232",11769
"233",11768
"234",11767
"235",11766
"236",11765
"237",11764
"238",11763
"239",11762
"240",11761
"241",11760
"242",11759
"243",11758
"244",11757
"245",11756
"246",11755
"247",11754
"248",11753
"249",11752
"250",11751
"251",11750
"252",11749
"253",11748
"254",11747
"255",11746
"256",11745
"257",11744
"258",11743
"259",11742
"260",11741
"261",11740
"262",11739
"263",11738
"264",11737
"265",11736
"266",11735
"267",11734
"268",11733
"269",11732
"270",11731
"271",11730
"272",11729
"273",11728
"274",11727
"275",11726
"276",11725
"277",11724
"278",11723
"279",11722
"280",11721
"281",11720
"282",11719
"283",11718
"284",11717
"285",11716
"286",11715
"287",11714
"288",11713
"289",11712
"290",11711
"291",11710
