"","calBP","PrDens"
"1",12000,5.21211040603235e-05
"2",11999,5.21025555102629e-05
"3",11998,5.20997415376017e-05
"4",11997,5.21099005919237e-05
"5",11996,5.21302687239115e-05
"6",11995,5.21581319375195e-05
"7",11994,5.2171327429396e-05
"8",11993,5.21851859659025e-05
"9",11992,5.21995299780369e-05
"10",11991,5.22141872666786e-05
"11",11990,5.22289914740081e-05
"12",11989,5.22289914740081e-05
"13",11988,5.22289914740081e-05
"14",11987,5.22289914740081e-05
"15",11986,5.22289914740081e-05
"16",11985,5.22289914740081e-05
"17",11984,5.22082975410894e-05
"18",11983,5.21880215210434e-05
"19",11982,5.2168629516252e-05
"20",11981,5.21506086121379e-05
"21",11980,5.21344642011037e-05
"22",11979,5.21388553008679e-05
"23",11978,5.21434297555288e-05
"24",11977,5.21481753861135e-05
"25",11976,5.21530801081749e-05
"26",11975,5.21581319375195e-05
"27",11974,5.2182369812592e-05
"28",11973,5.22082975410894e-05
"29",11972,5.2234918217095e-05
"30",11971,5.22612989782403e-05
"31",11970,5.22865788623717e-05
"32",11969,5.23074914687538e-05
"33",11968,5.23264216324193e-05
"34",11967,5.23429314834194e-05
"35",11966,5.23566408661246e-05
"36",11965,5.23672289775855e-05
"37",11964,5.23625008248617e-05
"38",11963,5.2357843175028e-05
"39",11962,5.23532585387917e-05
"40",11961,5.23487493858109e-05
"41",11960,5.23443181435044e-05
"42",11959,5.23380406957333e-05
"43",11958,5.23302056288891e-05
"44",11957,5.23209359754687e-05
"45",11956,5.23103725687843e-05
"46",11955,5.22986737313025e-05
"47",11954,5.23026890215883e-05
"48",11953,5.23065908003091e-05
"49",11952,5.23103725687843e-05
"50",11951,5.2321370100308e-05
"51",11950,5.23217277151889e-05
"52",11949,5.23218847065095e-05
"53",11948,5.23217179886881e-05
"54",11947,5.23211328581839e-05
"55",11946,5.23200628651933e-05
"56",11945,5.23184691556397e-05
"57",11944,5.2316804070038e-05
"58",11943,5.23150610535393e-05
"59",11942,5.23132352802357e-05
"60",11941,5.2311323600416e-05
"61",11940,5.23093244831329e-05
"62",11939,5.23074669045345e-05
"63",11938,5.23058147103038e-05
"64",11937,5.23044362550679e-05
"65",11936,5.23034038408474e-05
"66",11935,5.23027930950226e-05
"67",11934,5.23033018886879e-05
"68",11933,5.23050316883332e-05
"69",11932,5.23080690662072e-05
"70",11931,5.23122458562484e-05
"71",11930,5.23178788001353e-05
"72",11929,5.23241724851271e-05
"73",11928,5.2331164100915e-05
"74",11927,5.23388901574311e-05
"75",11926,5.23473861970157e-05
"76",11925,5.23566865086863e-05
"77",11924,5.23663173506932e-05
"78",11923,5.23762620392424e-05
"79",11922,5.23865130545361e-05
"80",11921,5.23970714095661e-05
"81",11920,5.24079459416165e-05
"82",11919,5.24187743459548e-05
"83",11918,5.24295746950686e-05
"84",11917,5.24403694110728e-05
"85",11916,5.24511846894327e-05
"86",11915,5.24620499063021e-05
"87",11914,5.24727256117754e-05
"88",11913,5.24832153761285e-05
"89",11912,5.24935227345603e-05
"90",11911,5.25036511828913e-05
"91",11910,5.25136041733753e-05
"92",11909,5.25234043756321e-05
"93",11908,5.25330715452309e-05
"94",11907,5.25426241749562e-05
"95",11906,5.25520793126479e-05
"96",11905,5.25614523822835e-05
"97",11904,5.25704347703997e-05
"98",11903,5.25790306087072e-05
"99",11902,5.25872442659609e-05
"100",11901,5.25950803415596e-05
"101",11900,5.26025436589734e-05
"102",11899,5.26096663212538e-05
"103",11898,5.26165024689226e-05
"104",11897,5.26236137368463e-05
"105",11896,5.2630536974639e-05
"106",11895,5.26375899807855e-05
"107",11894,5.26449219320675e-05
"108",11893,5.26526474269054e-05
"109",11892,5.26606665442772e-05
"110",11891,5.26690684271262e-05
"111",11890,5.26778923869825e-05
"112",11889,5.26878050417336e-05
"113",11888,5.26987377445109e-05
"114",11887,5.27105460680184e-05
"115",11886,5.27227747278943e-05
"116",11885,5.27353935192201e-05
"117",11884,5.27483531605922e-05
"118",11883,5.27614378144938e-05
"119",11882,5.27744260611294e-05
"120",11881,5.2787097905339e-05
"121",11880,5.27992415533168e-05
"122",11879,5.28121867223711e-05
"123",11878,5.2825937521156e-05
"124",11877,5.2840469516279e-05
"125",11876,5.28557430473046e-05
"126",11875,5.2871703998559e-05
"127",11874,5.288940877074e-05
"128",11873,5.29088066936982e-05
"129",11872,5.29298135474917e-05
"130",11871,5.29523103116522e-05
"131",11870,5.29759105286956e-05
"132",11869,5.30010299400994e-05
"133",11868,5.30271045236146e-05
"134",11867,5.3054057852004e-05
"135",11866,5.3081516435028e-05
"136",11865,5.31090940452567e-05
"137",11864,5.3136663382503e-05
"138",11863,5.31639492692804e-05
"139",11862,5.31906782142368e-05
"140",11861,5.32165813075131e-05
"141",11860,5.32411410851213e-05
"142",11859,5.32643126748791e-05
"143",11858,5.3285951639416e-05
"144",11857,5.33059271369881e-05
"145",11856,5.33238816572347e-05
"146",11855,5.33402981638839e-05
"147",11854,5.33561489295488e-05
"148",11853,5.33714009284686e-05
"149",11852,5.33860220616317e-05
"150",11851,5.33999812109559e-05
"151",11850,5.34132482923976e-05
"152",11849,5.34270824934299e-05
"153",11848,5.34414489961812e-05
"154",11847,5.3456312209137e-05
"155",11846,5.34716359194447e-05
"156",11845,5.34873834514038e-05
"157",11844,5.35039551592958e-05
"158",11843,5.35213354393323e-05
"159",11842,5.35395078660926e-05
"160",11841,5.35584552026319e-05
"161",11840,5.35781594118764e-05
"162",11839,5.35991500192832e-05
"163",11838,5.36207698715902e-05
"164",11837,5.3643194663108e-05
"165",11836,5.36662838097301e-05
"166",11835,5.36898913741509e-05
"167",11834,5.37134543422729e-05
"168",11833,5.37367934784803e-05
"169",11832,5.37597385453468e-05
"170",11831,5.37823682169044e-05
"171",11830,5.38042705333613e-05
"172",11829,5.38258094778484e-05
"173",11828,5.38469017345977e-05
"174",11827,5.38674650229364e-05
"175",11826,5.38874184819084e-05
"176",11825,5.39066830508909e-05
"177",11824,5.39253255932852e-05
