"","sampling_type","underlying_model","method","total_sims","sims_with_correct_ids","prop_correct"
"1","uniform.50p","exponential","fd.binned",1000,1000,1
"2","uniform.50p","exponential","fd.kde",1000,0,0
"3","uniform.50p","exponential","spd",1000,8,0.008
"4","uniform.75p","exponential","fd.binned",1000,1000,1
"5","uniform.75p","exponential","fd.kde",1000,0,0
"6","uniform.75p","exponential","spd",1000,8,0.008
"7","uniform.100p","exponential","fd.binned",1000,1000,1
"8","uniform.100p","exponential","fd.kde",1000,0,0
"9","uniform.100p","exponential","spd",1000,3,0.003
"10","singleton.ancient.50p","exponential","fd.binned",1000,1000,1
"11","singleton.ancient.50p","exponential","fd.kde",1000,0,0
"12","singleton.ancient.50p","exponential","spd",1000,0,0
"13","singleton.ancient.75p","exponential","fd.binned",1000,987,0.987
"14","singleton.ancient.75p","exponential","fd.kde",1000,0,0
"15","singleton.ancient.75p","exponential","spd",1000,0,0
"16","singleton.ancient.100p","exponential","fd.binned",1000,0,0
"17","singleton.ancient.100p","exponential","fd.kde",1000,0,0
"18","singleton.ancient.100p","exponential","spd",1000,0,0
"19","singleton.random.50p","exponential","fd.binned",1000,1000,1
"20","singleton.random.50p","exponential","fd.kde",1000,0,0
"21","singleton.random.50p","exponential","spd",1000,6,0.006
"22","singleton.random.75p","exponential","fd.binned",1000,1000,1
"23","singleton.random.75p","exponential","fd.kde",1000,0,0
"24","singleton.random.75p","exponential","spd",1000,0,0
"25","singleton.random.100p","exponential","fd.binned",1000,1000,1
"26","singleton.random.100p","exponential","fd.kde",1000,0,0
"27","singleton.random.100p","exponential","spd",1000,0,0
"28","singleton.recent.50p","exponential","fd.binned",1000,1000,1
"29","singleton.recent.50p","exponential","fd.kde",1000,0,0
"30","singleton.recent.50p","exponential","spd",1000,0,0
"31","singleton.recent.75p","exponential","fd.binned",1000,1000,1
"32","singleton.recent.75p","exponential","fd.kde",1000,0,0
"33","singleton.recent.75p","exponential","spd",1000,NA,NA
"34","singleton.recent.100p","exponential","fd.binned",1000,1000,1
"35","singleton.recent.100p","exponential","fd.kde",1000,0,0
"36","singleton.recent.100p","exponential","spd",1000,0,0
"37","bracketed.50p","exponential","fd.binned",1000,1000,1
"38","bracketed.50p","exponential","fd.kde",1000,0,0
"39","bracketed.50p","exponential","spd",1000,0,0
"40","bracketed.75p","exponential","fd.binned",1000,1000,1
"41","bracketed.75p","exponential","fd.kde",1000,0,0
"42","bracketed.75p","exponential","spd",1000,0,0
"43","bracketed.100p","exponential","fd.binned",1000,1000,1
"44","bracketed.100p","exponential","fd.kde",1000,0,0
"45","bracketed.100p","exponential","spd",1000,0,0
