"","sample","median.bin.age","lowerCI","median","upperCI"
"1","baseline (taphonomic loss) replicates",0.25,0,0.00419303797468354,0.00984828604231588
"2","baseline (taphonomic loss) replicates",0.35,0.0042279017378245,0.00853789659759809,0.0130315762668704
"3","baseline (taphonomic loss) replicates",0.45,0.00100635593220339,0.00874317984195389,0.0148715602120677
"4","baseline (taphonomic loss) replicates",0.55,0.00215426137287419,0.00964770523594053,0.0215541466360111
"5","baseline (taphonomic loss) replicates",0.65,0.00318636955377669,0.0109530207783483,0.019080259222333
"6","baseline (taphonomic loss) replicates",0.75,0.00100210970464135,0.00860219032114844,0.0140532448391253
"7","baseline (taphonomic loss) replicates",0.85,0.00410007911392405,0.0109289748024424,0.0161674511975633
"8","baseline (taphonomic loss) replicates",0.95,0.00215031633861181,0.00746336996336996,0.0127908506815253
"9","baseline (taphonomic loss) replicates",1.05,0.00322427572427572,0.00957175526798192,0.0171540695537093
"10","baseline (taphonomic loss) replicates",1.15,0.0041917194092827,0.00744843391902215,0.0118621900281698
"11","baseline (taphonomic loss) replicates",1.25,0.00319685690653433,0.0106390684703283,0.0192983282479229
"12","baseline (taphonomic loss) replicates",1.35,0.00101279317697228,0.00868630280394986,0.016320567844173
"13","baseline (taphonomic loss) replicates",1.45,0.00102591792656587,0.00859292076237944,0.0172704185478499
"14","baseline (taphonomic loss) replicates",1.55,0,0.00862072969646299,0.0130128205128205
"15","baseline (taphonomic loss) replicates",1.65,0.00100635593220339,0.00846569378376199,0.0140752715261449
"16","baseline (taphonomic loss) replicates",1.75,0.00216335902903067,0.00954514376192018,0.014957264957265
"17","baseline (taphonomic loss) replicates",1.85,0.00315219579600465,0.00641025641025641,0.0160470259970056
"18","baseline (taphonomic loss) replicates",1.95,0.00213436025003189,0.00652201653189408,0.0191882298301486
"19","baseline (taphonomic loss) replicates",2.05,0.00428660049627792,0.00746336996336996,0.0151166003536693
"20","baseline (taphonomic loss) replicates",2.15,0.00102370689655172,0.00640342244819857,0.0110352784917776
"21","baseline (taphonomic loss) replicates",2.25,0.00521233974358974,0.00755981934977138,0.0219788460112005
"22","baseline (taphonomic loss) replicates",2.35,0.00214330024813896,0.00636267947749109,0.014989224137931
"23","baseline (taphonomic loss) replicates",2.45,0.00310716058575329,0.00845669741829364,0.0163486353053382
"24","baseline (taphonomic loss) replicates",2.55,0.0063752439376965,0.0106837606837607,0.0286325217017388
"25","baseline (taphonomic loss) replicates",2.65,0.00212724540055049,0.0053228021978022,0.0173778103616813
"26","baseline (taphonomic loss) replicates",2.75,0.00101495726495727,0.00644486902586255,0.018381779165041
"27","baseline (taphonomic loss) replicates",2.85,0.00310339325603659,0.00654308302651483,0.0217986039629439
"28","baseline (taphonomic loss) replicates",2.95,0.00312030680111564,0.00842108995496933,0.0176444407121263
"29","baseline (taphonomic loss) replicates",3.05,0.00213779956427015,0.00858404675173961,0.0182418976429507
"30","baseline (taphonomic loss) replicates",3.15,0.00308676160337553,0.00862084982256656,0.0224630054853935
"31","baseline (taphonomic loss) replicates",3.25,0.00421588110165696,0.0117757370177325,0.0182121377802078
"32","baseline (taphonomic loss) replicates",3.35,0.00212910031305295,0.00642401232529988,0.0129273504273504
"33","baseline (taphonomic loss) replicates",3.45,0.00214940603952335,0.00873366608982518,0.0192479923778413
