"","sample","median.bin.age","lowerCI","median","upperCI"
"1","baseline (no loss) replicates",0.25,0,0.00440044536960837,0.0113871951219512
"2","baseline (no loss) replicates",0.35,0.00103260869565217,0.00447021686795129,0.0147310606060606
"3","baseline (no loss) replicates",0.45,0.00101495726495727,0.0045403009688724,0.0134596905336816
"4","baseline (no loss) replicates",0.55,0.00219950328721231,0.00663729809104258,0.0136021391346503
"5","baseline (no loss) replicates",0.65,0.00101495726495727,0.00554783644303295,0.0134976578574139
"6","baseline (no loss) replicates",0.75,0.00218340611353712,0.00450972616251284,0.0121693809193809
"7","baseline (no loss) replicates",0.85,0.00219950328721231,0.0066965620328849,0.0146164527868224
"8","baseline (no loss) replicates",0.95,0,0.00438604928534328,0.0110712397438659
"9","baseline (no loss) replicates",1.05,0.00101495726495727,0.00653597873552307,0.0147424072564207
"10","baseline (no loss) replicates",1.15,0.00321554015568635,0.0066965620328849,0.0135492254382389
"11","baseline (no loss) replicates",1.25,0.00105321507760532,0.00653597873552307,0.0142284030287386
"12","baseline (no loss) replicates",1.35,0.00221610802942681,0.00684158518826711,0.0123759793742037
"13","baseline (no loss) replicates",1.45,0,0.00665927568366593,0.0159177122847972
"14","baseline (no loss) replicates",1.55,0.00222366597366597,0.00676458924376926,0.011064610866373
"15","baseline (no loss) replicates",1.65,0.00220892803063607,0.00447447447447447,0.00785402097902098
"16","baseline (no loss) replicates",1.75,0.00207423580786026,0.00653597873552307,0.0144866025012625
"17","baseline (no loss) replicates",1.85,0.00216575091575092,0.00674160707792995,0.0136216759431045
"18","baseline (no loss) replicates",1.95,0.00219950328721231,0.00452497952497953,0.0164862883753018
"19","baseline (no loss) replicates",2.05,0.00106502242152466,0.00776817277129192,0.0146258314855876
"20","baseline (no loss) replicates",2.15,0.00217735042735043,0.00657907392801493,0.0103137351778656
"21","baseline (no loss) replicates",2.25,0.00318630219511277,0.00797894582784503,0.0153545389838986
"22","baseline (no loss) replicates",2.35,0,0.00454058177170305,0.0123720919733951
"23","baseline (no loss) replicates",2.45,0.00317620273952152,0.0078714851242705,0.0158480897311853
"24","baseline (no loss) replicates",2.55,0.00440368753032508,0.00878241588739998,0.0170006114961272
"25","baseline (no loss) replicates",2.65,0,0.00330497643581756,0.0144852127738034
"26","baseline (no loss) replicates",2.75,0,0.00665927568366593,0.01540240596408
"27","baseline (no loss) replicates",2.85,0.00325666824029269,0.00867879061711661,0.0145557932052006
"28","baseline (no loss) replicates",2.95,0.00222671964364549,0.00871463831403076,0.0145457565976837
"29","baseline (no loss) replicates",3.05,0.00110981308411215,0.00788336383973968,0.015394171046345
"30","baseline (no loss) replicates",3.15,0,0.00873362445414847,0.015789911308204
"31","baseline (no loss) replicates",3.25,0.00326741762604208,0.0088790342448879,0.0160249273453344
"32","baseline (no loss) replicates",3.35,0.00320704457475758,0.00674160707792995,0.0114045922612856
"33","baseline (no loss) replicates",3.45,0.00325839920948617,0.00691376380628717,0.0133192904656319
"34","baseline (no loss) replicates",3.55,0,0.00663924794359577,0.0158730158730159
"35","baseline (no loss) replicates",3.65,0.00225159414996424,0.0067350332594235,0.0143296539036449
