"","sampling_type","underlying_model","method","total_sims","sims_with_correct_ids","prop_correct"
"1","uniform.50p","uniform","fd.binned",1000,819,0.819
"2","uniform.50p","uniform","fd.kde",1000,980,0.98
"3","uniform.50p","uniform","spd",1000,71,0.071
"4","uniform.75p","uniform","fd.binned",1000,747,0.747
"5","uniform.75p","uniform","fd.kde",1000,929,0.929
"6","uniform.75p","uniform","spd",1000,72,0.072
"7","uniform.100p","uniform","fd.binned",1000,715,0.715
"8","uniform.100p","uniform","fd.kde",1000,865,0.865
"9","uniform.100p","uniform","spd",1000,56,0.056
"10","singleton.ancient.50p","uniform","fd.binned",1000,8,0.008
"11","singleton.ancient.50p","uniform","fd.kde",1000,0,0
"12","singleton.ancient.50p","uniform","spd",1000,23,0.023
"13","singleton.ancient.75p","uniform","fd.binned",1000,0,0
"14","singleton.ancient.75p","uniform","fd.kde",1000,0,0
"15","singleton.ancient.75p","uniform","spd",1000,0,0
"16","singleton.ancient.100p","uniform","fd.binned",1000,0,0
"17","singleton.ancient.100p","uniform","fd.kde",1000,0,0
"18","singleton.ancient.100p","uniform","spd",1000,0,0
"19","singleton.random.50p","uniform","fd.binned",1000,687,0.687
"20","singleton.random.50p","uniform","fd.kde",1000,865,0.865
"21","singleton.random.50p","uniform","spd",1000,62,0.062
"22","singleton.random.75p","uniform","fd.binned",1000,735,0.735
"23","singleton.random.75p","uniform","fd.kde",1000,716,0.716
"24","singleton.random.75p","uniform","spd",1000,55,0.055
"25","singleton.random.100p","uniform","fd.binned",1000,465,0.465
"26","singleton.random.100p","uniform","fd.kde",1000,562,0.562
"27","singleton.random.100p","uniform","spd",1000,64,0.064
"28","singleton.recent.50p","uniform","fd.binned",1000,0,0
"29","singleton.recent.50p","uniform","fd.kde",1000,0,0
"30","singleton.recent.50p","uniform","spd",1000,0,0
"31","singleton.recent.75p","uniform","fd.binned",1000,0,0
"32","singleton.recent.75p","uniform","fd.kde",1000,0,0
"33","singleton.recent.75p","uniform","spd",1000,NA,NA
"34","singleton.recent.100p","uniform","fd.binned",1000,0,0
"35","singleton.recent.100p","uniform","fd.kde",1000,0,0
"36","singleton.recent.100p","uniform","spd",1000,0,0
"37","bracketed.50p","uniform","fd.binned",1000,580,0.58
"38","bracketed.50p","uniform","fd.kde",1000,959,0.959
"39","bracketed.50p","uniform","spd",1000,0,0
"40","bracketed.75p","uniform","fd.binned",1000,697,0.697
"41","bracketed.75p","uniform","fd.kde",1000,954,0.954
"42","bracketed.75p","uniform","spd",1000,0,0
"43","bracketed.100p","uniform","fd.binned",1000,1000,1
"44","bracketed.100p","uniform","fd.kde",1000,1000,1
"45","bracketed.100p","uniform","spd",1000,0,0
